Latent,Structure,platform,lval,op,rval,Estimate,Std. Error,z-value,p-value
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Helpfulness,~~,Helpfulness,0.04974245652591548,0.00023633309581671885,210.4760492538706,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Is_Photo,~~,Is_Photo,0.9877047073096271,0.004677723414339318,211.15072859389653,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Text_Length,~~,Text_Length,3.4019385060572485e-18,0.023549646993544688,1.4445815289058527e-16,0.9999999999999998
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Title_Length,~~,Title_Length,0.9702666672710081,0.004640661150734547,209.0794038923419,0.0
Valence O,Helpfulness ~ Heuristic + Systematic,hotel,Valence_abs,~~,Valence_abs,0.06542325925956564,0.00030989608956541286,211.11353531501265,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Systematic,~,Heuristic,0.27402283079431583,0.011731106011039953,23.358652672056557,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Text_Length,~,Heuristic,5.780634041756705,0.17815136439942425,32.447879707302086,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7687273686568787,0.024098688748491304,31.899136780755583,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Is_Photo,~,Heuristic,0.6409133006925504,0.022749391165001645,28.17276717499052,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Depth,~,Systematic,8.343779704819134,0.31625867606733593,26.38276934738146,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Breadth,~,Systematic,-9.846030295711317,0.3739035185845685,-26.33307740177908,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Arousal,~,Systematic,2.294526886547309,0.09428565291261266,24.33590706159317,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Valence_abs,~,Systematic,-0.3443033280860327,0.016230908455328305,-21.212819295508474,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Helpfulness,~,Systematic,0.20734717893972354,0.011574086800865482,17.91477655984953,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Heuristic,~~,Heuristic,0.029925663395024053,0.0013577793534850567,22.040152029247405,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Systematic,~~,Systematic,0.0065231671640057715,0.0004970378501319415,13.124085316943317,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Arousal,~~,Arousal,0.9538186478599565,0.004538764162079436,210.14941812108052,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Breadth,~~,Breadth,0.14926594509345253,0.004064597422474931,36.723426588663514,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Depth,~~,Depth,0.38885101002024125,0.0034200917609230586,113.69607516074278,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9822991365446135,0.004663136316278486,210.6520311029436,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9912526110016958,0.004691158874630094,211.3022895368376,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Helpfulness,~~,Helpfulness,0.05041728902132261,0.0002385594374265375,211.340575555757,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Is_Photo,~~,Is_Photo,0.9877575263578775,0.0046786906604617175,211.11836576288675,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Text_Length,~~,Text_Length,0.0,0.02424091391710606,0.0,1.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Title_Length,~~,Title_Length,0.9700264323578108,0.004642405025491256,208.94911728349555,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,Valence_abs,~~,Valence_abs,0.0654334020476947,0.00030995863082417365,211.1036613583076,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Heuristic,~,Systematic,0.9498107508029373,0.044781726216510144,21.209784236310902,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Text_Length,~,Heuristic,5.666894876325231,0.15674548701836397,36.153480295258234,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7592924861880244,0.02372187484254142,32.00811450174021,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Is_Photo,~,Heuristic,0.633651424194607,0.022421581825256467,28.260781469600808,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Depth,~,Systematic,8.331967844078491,0.3151548219340504,26.437697487603756,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Breadth,~,Systematic,-9.854308246929573,0.3734981399321781,-26.383821479519526,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Arousal,~,Systematic,2.287467146501357,0.09384556621867593,24.374802546843817,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Valence_abs,~,Systematic,-0.3443469669119829,0.016198053570933485,-21.258539822873292,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Helpfulness,~,Heuristic,0.18574699887582743,0.00551111098484956,33.704093304009874,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Heuristic,~~,Heuristic,0.022946687143192968,0.0009223494034510748,24.87851895654382,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Systematic,~~,Systematic,0.00879213412101344,0.0006646011631762756,13.22918856440862,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Arousal,~~,Arousal,0.9541585117609025,0.004539888698551693,210.17222555590936,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Breadth,~~,Breadth,0.14630695788462583,0.00412204325812918,35.49379486995838,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Depth,~~,Depth,0.3900645238656824,0.003448055488253881,113.1259415868878,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9822079451229042,0.004657628804683288,210.88154211095645,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9913952294775485,0.0046917642105128434,211.30542473656757,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Helpfulness,~~,Helpfulness,0.049730860346910426,0.00023610977205530402,210.62601392303216,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Is_Photo,~~,Is_Photo,0.9875800963194158,0.004675597429483743,211.22008705895783,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Text_Length,~~,Text_Length,0.0090323524053599,0.020164574909629616,0.447931704258172,0.6542024865153944
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Title_Length,~~,Title_Length,0.9696827105653981,0.0046273398500004575,209.55510980153036,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,Valence_abs,~~,Valence_abs,0.0654360345841162,0.0003099633764686773,211.10892234592683,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Systematic,~,Heuristic,0.2727424486555786,0.011682769909654406,23.345700612219026,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Text_Length,~,Heuristic,5.781983026936817,0.17503607995564438,33.033092539372376,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7699289482782188,0.02412078982686891,31.919723764130264,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Is_Photo,~,Heuristic,0.6401576884438973,0.02274934348932273,28.139611532799265,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Depth,~,Systematic,8.343808407686263,0.31636690095799785,26.3738348809367,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Breadth,~,Systematic,-9.888474049852034,0.37571024467333314,-26.319415533700436,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Arousal,~,Systematic,2.275108790133476,0.093645715272085,24.294851969456545,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Valence_abs,~,Systematic,-0.34547758801275347,0.016271399025167863,-21.232199361416445,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~,Heuristic,0.18391730983918567,0.006363627973551733,28.901329646339228,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~,Systematic,0.013287994310338041,0.01140281041900203,1.1653262503627306,0.24388695729348142
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Heuristic,~~,Heuristic,0.02990475134078143,0.0013460627936216173,22.21646082208799,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Systematic,~~,Systematic,0.006518879044514662,0.0004966622586305797,13.125376285613976,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Arousal,~~,Arousal,0.95439131104425,0.004540322681032244,210.20341017195398,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Breadth,~~,Breadth,0.14493570627430435,0.004133589901784306,35.06291375849318,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Depth,~~,Depth,0.39098957680223073,0.0034480405054519003,113.39471681687594,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9822443271277495,0.004661840924030914,210.698808244135,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.991490604661341,0.0046921495161309544,211.3083994961001,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~~,Helpfulness,0.049739127959791955,0.00023632336635115022,210.47062978704577,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Is_Photo,~~,Is_Photo,0.9877034228735527,0.0046778378123653284,211.14529025600814,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Text_Length,~~,Text_Length,3.43133099590722e-18,0.02353168831707045,1.4581745897391618e-16,0.9999999999999998
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Title_Length,~~,Title_Length,0.9700717931782468,0.004639297904855992,209.09883626006547,0.0
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,Valence_abs,~~,Valence_abs,0.06543475647978343,0.0003099538684454668,211.111274709529,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Heuristic,~,Systematic,0.928207597787286,0.045092598321643085,20.584477992282604,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Text_Length,~,Heuristic,5.769731818205021,0.17452386547034787,33.05984429477501,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7671856478060769,0.024037225852690358,31.91656360329507,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Is_Photo,~,Heuristic,0.6363824807194818,0.02266211359953643,28.081338393097553,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Depth,~,Systematic,8.290885253103765,0.31210784689480275,26.56416791684087,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Breadth,~,Systematic,-9.806464241705225,0.3699256573891932,-26.509283813643354,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Arousal,~,Systematic,2.260540020664901,0.09246893112276998,24.4464815716228,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Valence_abs,~,Systematic,-0.343229604009279,0.016086042904158063,-21.337106088360667,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~,Heuristic,0.1835863334653146,0.006347794094041515,28.921280482100123,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~,Systematic,0.013305781084108794,0.011324924852160453,1.1749112030880753,0.2400302430544481
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Heuristic,~~,Heuristic,0.022388014979932036,0.000925494594947611,24.190324911631727,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Systematic,~~,Systematic,0.008876433772099745,0.0006677751920345272,13.292547948304499,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Arousal,~~,Arousal,0.9543423407631433,0.004540292764529506,210.1940095160018,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Breadth,~~,Breadth,0.14600675457708412,0.004123342397583342,35.4098060416345,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Depth,~~,Depth,0.39024826463388856,0.0034490446217104354,113.14677173622982,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9823369613684221,0.004662177207708576,210.70347981056892,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9914597218598463,0.004692115094574893,211.30336781271333,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Helpfulness,~~,Helpfulness,0.04973538116411819,0.00023630782229986898,210.46861872619928,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Is_Photo,~~,Is_Photo,0.9877958314784643,0.004678143655308262,211.15123947646774,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Text_Length,~~,Text_Length,1.4489881998792238e-19,0.023536763846791982,6.156276237674686e-18,1.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Title_Length,~~,Title_Length,0.9700672609951677,0.004639754909787878,209.07726370193984,0.0
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,Valence_abs,~~,Valence_abs,0.06542242783877751,0.00030990035956745193,211.10794359510876,0.0
Valence O,Helpfulness ~ Systematic,hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,Helpfulness ~ Systematic,hotel,Text_Length,~,Heuristic,5.787503076683496,0.17851793052424358,32.41972982576731,0.0
Valence O,Helpfulness ~ Systematic,hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7691889439910312,0.024135701104322012,31.869343286714063,0.0
Valence O,Helpfulness ~ Systematic,hotel,Is_Photo,~,Heuristic,0.6425326508187693,0.02279583242882894,28.186408756804102,0.0
Valence O,Helpfulness ~ Systematic,hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,Helpfulness ~ Systematic,hotel,Depth,~,Systematic,8.298861208153937,0.3127623533745285,26.53407968889924,0.0
Valence O,Helpfulness ~ Systematic,hotel,Breadth,~,Systematic,-9.789979750613098,0.3696613470270512,-26.48364463669554,0.0
Valence O,Helpfulness ~ Systematic,hotel,Arousal,~,Systematic,2.2787477714754933,0.09319969891203658,24.45016237232443,0.0
Valence O,Helpfulness ~ Systematic,hotel,Valence_abs,~,Systematic,-0.34351509794108576,0.016113815238857535,-21.318048694725064,0.0
Valence O,Helpfulness ~ Systematic,hotel,Helpfulness,~,Systematic,0.20619077751115372,0.011478199359677374,17.963686727513466,0.0
Valence O,Helpfulness ~ Systematic,hotel,Heuristic,~~,Heuristic,0.02984770628462417,0.001355731497463797,22.01594218209515,0.0
Valence O,Helpfulness ~ Systematic,hotel,Heuristic,~~,Systematic,0.008237630301446152,0.00040590977563122226,20.29423969487243,0.0
Valence O,Helpfulness ~ Systematic,hotel,Systematic,~~,Systematic,0.008872360764954262,0.0006682002900468819,13.277995959944539,0.0
Valence O,Helpfulness ~ Systematic,hotel,Arousal,~~,Arousal,0.9538297751261225,0.004538746743708225,210.15267622900598,0.0
Valence O,Helpfulness ~ Systematic,hotel,Breadth,~~,Breadth,0.14936217781158284,0.004063381728916086,36.75809651648637,0.0
Valence O,Helpfulness ~ Systematic,hotel,Depth,~~,Depth,0.3887845236634937,0.0034206396351210973,113.65842796125806,0.0
Valence O,Helpfulness ~ Systematic,hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9823055029103336,0.0046631339535211135,210.65350309268837,0.0
Valence O,Helpfulness ~ Systematic,hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9913006329572263,0.0046914505975161865,211.29938643513694,0.0
Valence O,Helpfulness ~ Systematic,hotel,Helpfulness,~~,Helpfulness,0.05041789337596976,0.0002385624152601597,211.34047083505178,0.0
Valence O,Helpfulness ~ Systematic,hotel,Is_Photo,~~,Is_Photo,0.9877655704631095,0.004678786199033904,211.1157740988361,0.0
Valence O,Helpfulness ~ Systematic,hotel,Text_Length,~~,Text_Length,0.0,0.024249487580529548,0.0,1.0
Valence O,Helpfulness ~ Systematic,hotel,Title_Length,~~,Title_Length,0.9700640126128,0.0046423517956569954,208.9596082122326,0.0
Valence O,Helpfulness ~ Systematic,hotel,Valence_abs,~~,Valence_abs,0.06543098216869421,0.0003099519088569087,211.10043231835817,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence O,Helpfulness ~ Heuristic,hotel,Text_Length,~,Heuristic,5.582931315101899,0.15300777103635052,36.487893897487446,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.753695698488776,0.023617516839370432,31.912571655308476,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Is_Photo,~,Heuristic,0.632267981042809,0.022368266933242984,28.266292730747363,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence O,Helpfulness ~ Heuristic,hotel,Depth,~,Systematic,8.412006003332388,0.32090564733057864,26.213331155997416,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Breadth,~,Systematic,-9.961729320282258,0.38079995408127404,-26.16000662156059,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Arousal,~,Systematic,2.298168507248197,0.09503290395238498,24.182871528112855,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Valence_abs,~,Systematic,-0.34729480735696605,0.016428215547474073,-21.14014186946947,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Helpfulness,~,Heuristic,0.18555558477864148,0.005498353599803726,33.74748120083032,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Heuristic,~~,Heuristic,0.03140642759898585,0.0013415990136715066,23.40969787211403,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Heuristic,~~,Systematic,0.008393272937442244,0.00039914238051570066,21.028267921761863,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Systematic,~~,Systematic,0.008634220300481806,0.0006582703848384483,13.116525498081275,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Arousal,~~,Arousal,0.9546703368529332,0.004541837337507883,210.1947440430723,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Breadth,~~,Breadth,0.14520119803590126,0.0041386997861314265,35.08377159594406,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Depth,~~,Depth,0.3907904345373119,0.003454231685096978,113.13382252563251,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Deviation_Of_Star_Ratings,~~,Deviation_Of_Star_Ratings,0.9825265775754256,0.004659764539812564,210.85326714900788,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Flesch_Reading_Ease,~~,Flesch_Reading_Ease,0.9913500115153301,0.0046914122237198645,211.31164008392503,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Helpfulness,~~,Helpfulness,0.04972202148881442,0.00023612650145756782,210.5736584894765,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Is_Photo,~~,Is_Photo,0.9877552837773869,0.004677124618236442,211.18857507342653,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Text_Length,~~,Text_Length,0.02241287064114471,0.019690921367473444,1.13823371805391,0.25502290266771555
Valence O,Helpfulness ~ Heuristic,hotel,Title_Length,~~,Title_Length,0.9692632763197059,0.0046270970183831086,209.4754599394437,0.0
Valence O,Helpfulness ~ Heuristic,hotel,Valence_abs,~~,Valence_abs,0.06544465999129606,0.0003099986177090584,211.11274709490735,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Title_Length,~,Heuristic,1.0,-,-,-
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Text_Length,~,Heuristic,5.292381696659971,0.14736491308940658,35.9134449691777,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Deviation_Of_Star_Ratings,~,Heuristic,0.7341131909657838,0.023500660561647853,31.237981120096237,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Is_Photo,~,Heuristic,0.6422418580638714,0.02256006887936328,28.46808054841052,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Valence_Matching_Rate2,~,Heuristic,-0.4127644532707975,0.020633864502638478,-20.004224278879637,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Flesch_Reading_Ease,~,Systematic,1.0,-,-,-
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Depth,~,Systematic,8.726881776559432,0.34498249156494315,25.29659327621644,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Breadth,~,Systematic,-10.219684772759429,0.40475776222811966,-25.248891377589967,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Arousal,~,Systematic,2.475097865446323,0.10491378891766726,23.591730800658652,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Helpfulness,~,Heuristic,0.18896712770471422,0.006512740929739666,29.01499226121571,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Helpfulness,~,Systematic,-0.008821107239966382,0.012215257129462588,-0.7221384818800232,0.4702093409983008
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Heuristic,~~,Heuristic,0.032909225792679395,0.001410224154886033,23.33616656282758,0.0
Valence ▲,Helpfulness ~ Heuristic + Systematic,hotel,Heuristic,~~,Systematic,0.008551582575449471,0.0004178750385916237,20.464449333481767,0.0
