Latent,Structure,platform,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,33,45,15375.428276138442,0.0,116092.11788321927,0.8677913889117189,0.8675583790141113,0.8193977895646972,0.8675583790141113,0.8197155303341622,0.07207237914302374,43.65643420420896,250.50152911394335,0.17178289789551915
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,33,45,15375.305919538734,0.0,116092.11788321927,0.8677924432817192,0.8675594329754132,0.8193992267846544,0.8675594329754132,0.8197169681114352,0.07207209175211442,43.656436938281914,250.5015318480163,0.17178153085904402
Valence ▲,Helpfulness ~ Systematic,hotel,34,45,16676.46471265179,0.0,116092.11788321927,0.8565887286455536,0.8563514473099098,0.8098769155572335,0.8563514473099098,0.8101909643838209,0.07395169651343769,41.62736238841066,239.07040752952076,0.1863188057946683
Valence ▲,Helpfulness ~ Heuristic,hotel,34,45,15376.347670617535,0.0,116092.11788321927,0.8677920835047633,0.8675504594886874,0.8246991375585568,0.8675504594886873,0.8250189340504221,0.07100439464153822,41.656413660228644,239.09945880133876,0.17179316988567717
Valence X,Helpfulness ~ Heuristic + Systematic,hotel,25,36,10878.09491522317,0.0,111104.14466394464,0.9022843593177771,0.9020910070625536,0.8590110501700772,0.9020910070625537,0.8592894774175991,0.0696442994009717,39.756927659567104,227.79792303205295,0.12153617021644791
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Systematic",hotel,26,36,12140.356579641495,0.0,111104.14466394464,0.8909286130933805,0.8907299397663131,0.8487029935225874,0.8907299397663131,0.8489780796677575,0.07215098759391993,37.728722270719146,216.3676678745807,0.13563886464042785
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",hotel,26,36,10849.379666509625,0.0,111104.14466394464,0.9025519000136576,0.9023494605054959,0.8647915606999175,0.9023494605054958,0.8650718615573719,0.06819830018808477,37.757569305256474,216.39651490911803,0.12121534737176276
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",hotel,25,36,10847.826532637493,0.0,111104.14466394464,0.9025568801443135,0.9023634395868059,0.8594033530050005,0.9023634395868059,0.8596819074078114,0.0695471155035549,39.75760401021982,227.79859938270565,0.12119799489008987
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",hotel,25,36,10847.515342434872,0.0,111104.14466394464,0.9025596819395857,0.9023662404742395,0.8594073862829049,0.9023662404742396,0.8596859419930034,0.06954611564753421,39.757610963802364,227.7986063362882,0.12119451809881987
Valence X,Helpfulness ~ Systematic,hotel,26,36,12140.5954100004,0.0,111104.14466394464,0.8909264627886317,0.8907277901583067,0.8487000171422708,0.8907277901583067,0.8489751023227208,0.07215169880632398,37.728716934026025,216.36766253788755,0.13564153298698844
Valence X,Helpfulness ~ Heuristic,hotel,26,36,10849.89301539655,0.0,111104.14466394464,0.902547278086385,0.9023448400758217,0.864785163181907,0.9023448400758217,0.865065461965764,0.06819991747896148,37.757557834413795,216.39650343827535,0.12122108279310151
Valence O,Helpfulness ~ Heuristic + Systematic,amazon,33,45,19654.09155374612,0.0,106552.2853074129,0.8157770006332093,0.8155450960339115,0.7484705855007884,0.8155450960339113,0.7487868190452854,0.08131337254438238,43.56288786340596,250.5114650630051,0.21855606829702
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",amazon,34,45,31274.339314868852,0.0,106552.2853074129,0.7066835454053721,0.7064883289491204,0.6115286706679535,0.7064883289491204,0.6117870453894632,0.10108245348771674,41.30445051397536,238.8462742045018,0.3477747430123195
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",amazon,34,45,20151.41976829984,0.0,106552.2853074129,0.8111169605888014,0.810877638990462,0.7496909927814938,0.810877638990462,0.7500077419557666,0.0811155360340677,41.55182715384034,239.0936508443668,0.22408642307982962
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",amazon,33,45,19654.025340545253,0.0,106552.2853074129,0.8157776223108784,0.8155457174490286,0.748471432885039,0.8155457174490286,0.7487876667875615,0.08131323534449224,43.562889336004865,250.511466535604,0.2185553319975675
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",amazon,33,45,19654.091580207692,0.0,106552.2853074129,0.8157770003847609,0.8155450957855679,0.748470585162138,0.8155450957855679,0.748786818706492,0.08131337259921317,43.56288786281745,250.51146506241656,0.2185560685912762
Valence O,Helpfulness ~ Systematic,amazon,34,45,31274.2096300292,0.0,106552.2853074129,0.7066847630201041,0.7064895460496197,0.6115302815362613,0.7064895460496197,0.611788656938373,0.10108224368085061,41.30445339820011,238.84627708872657,0.3477733008999433
Valence O,Helpfulness ~ Heuristic,amazon,34,45,20151.42041511983,0.0,106552.2853074129,0.8111169545157897,0.810877632920015,0.7496909847470787,0.810877632920015,0.750007733917957,0.08111553733809053,41.55182713945489,239.09365082998136,0.22408643027255248
Valence ▲,Helpfulness ~ Heuristic + Systematic,amazon,33,45,12033.36287583711,0.0,97073.17840484784,0.8763208474782874,0.8760382314293712,0.8309612246764153,0.8760382314293712,0.8313466101976648,0.06359128214709851,43.73237486236977,250.6809520619689,0.13381256881511794
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Systematic",amazon,34,45,23566.49332393555,0.0,97073.17840484784,0.7574674315151341,0.7572296105763584,0.6786862492922391,0.7572296105763584,0.6790010122994422,0.08773075675843955,41.47587502476596,239.01769871529243,0.26206248761701767
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",amazon,34,45,12515.921226596325,0.0,97073.17840484784,0.8713577701673858,0.8710671533345891,0.8293535852957796,0.8710671533345891,0.8297382252215401,0.06389378590624178,41.72164263843793,239.26346632896437,0.13917868078103712
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",amazon,33,45,12033.430077208914,0.0,97073.17840484784,0.8763201548818386,0.8760375391539877,0.8309602806645288,0.8760375391539876,0.8313456657479618,0.06359146020068975,43.73237336779368,250.6809505673928,0.1338133161031605
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",amazon,33,45,12033.456507028483,0.0,97073.17840484784,0.8763198824886018,0.8760372668870238,0.8309599093913961,0.8760372668870237,0.8313452943026389,0.0635915302277589,43.73237277998758,250.6809499795867,0.1338136100062104
Valence ▲,Helpfulness ~ Systematic,amazon,34,45,23566.466778703743,0.0,97073.17840484784,0.7574677050978421,0.7572298840322423,0.6786866112191443,0.7572298840322422,0.6790013743942028,0.08773070727719888,41.47587561513886,239.01769930566533,0.2620621924305686
Valence ▲,Helpfulness ~ Heuristic,amazon,34,45,12515.858185465377,0.0,97073.17840484784,0.8713584198872093,0.8710678027532234,0.8293544448204427,0.8710678027532234,0.8297390851448359,0.06389362455521509,41.72164404048917,239.26346773101562,0.1391779797554169
Valence X,Helpfulness ~ Heuristic + Systematic,amazon,25,36,7324.427120130345,0.0,92185.66189306552,0.9207872609603178,0.9205470029750764,0.88558768428411,0.9205470029750764,0.8859336557828575,0.056981220337745296,39.837102825177524,227.9721730066313,0.0814485874112374
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Systematic",amazon,26,36,18901.9191266675,0.0,92185.66189306552,0.7951601911619389,0.7949581449163586,0.716095892961112,0.7949581449163586,0.7163756493011463,0.08985137799454336,37.57961637491148,216.30793304729258,0.21019181254425812
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",amazon,26,36,7821.692937357566,0.0,92185.66189306552,0.9154018280999877,0.9151528255399343,0.8825192969014475,0.9151528255399342,0.882864069676906,0.057742828037058797,37.82604350334476,216.55436017572586,0.08697824832761647
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",amazon,25,36,7324.386336256457,0.0,92185.66189306552,0.9207877035433186,0.9205474453852415,0.8855883213547477,0.9205474453852414,0.8859342931023789,0.056981061152776936,39.83710373222155,227.9721739136753,0.08144813388922634
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",amazon,25,36,7324.374543321951,0.0,92185.66189306552,0.9207878315192034,0.9205475733111494,0.8855885055680552,0.9205475733111496,0.8859344773876529,0.05698101512327783,39.83710399449949,227.97217417595326,0.08144800275025244
Valence X,Helpfulness ~ Systematic,amazon,26,36,18901.86320981486,0.0,92185.66189306552,0.7951607979666899,0.7949587514841425,0.7160967328241974,0.7949587514841426,0.7163764894923399,0.0898512449093688,37.57961761851691,216.307934290898,0.21019119074154435
Valence X,Helpfulness ~ Heuristic,amazon,26,36,7821.671323777202,0.0,92185.66189306552,0.9154020626486548,0.9151530599970062,0.8825196215343163,0.9151530599970061,0.8828643944365988,0.057742747990927594,37.826043984036446,216.55436065641754,0.08697800798177635
Valence O,Helpfulness ~ Heuristic + Systematic,audible,25,36,10121.927214519146,0.0,73100.18464371485,0.8618074332348318,0.8615334931935849,0.8006082301987623,0.8615334931935849,0.8010027038581576,0.06590390597188382,39.78229839627227,228.58702810767068,0.1088508018638672
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",audible,26,36,12020.249531922509,0.0,73100.18464371485,0.8358395486049637,0.8355647172369214,0.7723203777126604,0.8355647172369213,0.7727009134530267,0.07043465836317153,37.7414694311817,217.1059626570102,0.12926528440915064
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",audible,26,36,10324.028540602867,0.0,73100.18464371485,0.8590550405671471,0.8587687761539666,0.804449074674723,0.8587687761539665,0.8048454407852805,0.06526448541302385,37.77795161706002,217.1424448428885,0.11102419146998965
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",audible,25,36,10122.130717475997,0.0,73100.18464371485,0.8618046479720133,0.8615307093024381,0.8006042213955109,0.8615307093024381,0.8009986930796992,0.06590457011315529,39.78229401934689,228.5870237307453,0.10885299032655471
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",audible,25,36,10122.290906834352,0.0,73100.18464371485,0.8618024555249322,0.861528517935082,0.8006010658265181,0.861528517935082,0.8009955359559022,0.06590509289379579,39.782290574006936,228.58702028540534,0.10885471299653027
Valence O,Helpfulness ~ Systematic,audible,26,36,12020.190505140192,0.0,73100.18464371485,0.8358403564807049,0.835565524714804,0.7723214957589595,0.835565524714804,0.7727020320502066,0.07043448504943686,37.74147070072503,217.1059639265535,0.12926464963748607
Valence O,Helpfulness ~ Heuristic,audible,26,36,10324.082412049242,0.0,73100.18464371485,0.8590543032504079,0.8587680392003373,0.8044480542773901,0.8587680392003373,0.8048444198851802,0.06526465611985449,37.77795045839724,217.14244368422573,0.11102477080137696
Valence ▲,Helpfulness ~ Heuristic + Systematic,audible,25,36,6465.094683741838,0.0,64456.21842446087,0.9000299154326294,0.8996978904166001,0.8555649621999042,0.8996978904166001,0.8560430782229864,0.05263355065133759,39.860949258864125,228.66567897026255,0.0695253705679364
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Systematic",audible,26,36,8200.54407356607,0.0,64456.21842446087,0.8731059242968644,0.8727734224250736,0.8238401233577942,0.8727734224250736,0.8243005105648892,0.058147579668678916,37.8236233517176,217.18811657754608,0.08818832414120026
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",audible,26,36,6593.075139322224,0.0,64456.21842446087,0.898058788064763,0.8977123495532251,0.8583709455352347,0.8977123495532251,0.8588506296281334,0.05211777483514301,37.85819666542662,217.2226898912551,0.07090166728669223
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",audible,25,36,6465.171291306344,0.0,64456.21842446087,0.9000287262475198,0.8996967018956725,0.8555632507297685,0.8996967018956725,0.8560413657964286,0.05263386369923004,39.86094761119474,228.66567732259315,0.06952619440263197
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",audible,25,36,6465.115637394242,0.0,64456.21842446087,0.9000295901674733,0.8996975653331105,0.8555644940796792,0.8996975653331105,0.8560426098411614,0.052633636276183365,39.86094880819464,228.66567851959306,0.06952559590267926
Valence ▲,Helpfulness ~ Systematic,audible,26,36,8206.532096105808,0.0,64456.21842446087,0.873012971762921,0.8726805218068538,0.8237114917325669,0.8726805218068538,0.8241718070563522,0.058168872922099796,37.82349456180611,217.1879877876346,0.08825271909694488
Valence ▲,Helpfulness ~ Heuristic,audible,26,36,6599.276664035,0.0,64456.21842446087,0.8979625213201843,0.8976161365754184,0.858237727565964,0.8976161365754184,0.8587173372125629,0.052142377370757796,37.85806328352741,217.22255650935588,0.07096835823629677
Valence X,Helpfulness ~ Heuristic + Systematic,audible,18,28,3784.104213177492,0.0,61717.494801409535,0.9389506394030084,0.9386866847827552,0.9046237318842858,0.9386866847827551,0.9050343279602352,0.04743473303120383,35.91861178820769,205.84286852846628,0.0406941058961543
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Systematic",audible,19,28,5525.717665882962,0.0,61717.494801409535,0.9107349203683681,0.9104675637975382,0.8680574624384774,0.9104675637975382,0.8684514615954899,0.05582852466496388,33.881153304888045,194.3651735595767,0.05942334755597933
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",audible,19,28,3924.411985391727,0.0,61717.494801409535,0.9366924304054685,0.9364132974285583,0.9062932804210333,0.9364132974285583,0.906704634281743,0.04701572889136188,33.91559405982661,194.39961431451528,0.04220297008669549
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",audible,18,28,3784.1036868271262,0.0,61717.494801409535,0.9389506479352612,0.9386866933111371,0.9046237451506577,0.9386866933111371,0.9050343412326285,0.04743472971646683,35.91861179952839,205.842868539787,0.04069410023580344
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",audible,18,28,3784.1695660503174,0.0,61717.494801409535,0.9389495800188614,0.9386856258792298,0.9046220847010241,0.9386856258792298,0.9050326800293399,0.04743514459477874,35.91861038260331,205.8428671228619,0.040694808698344076
Valence X,Helpfulness ~ Systematic,audible,19,28,5530.934022981543,0.0,61717.494801409535,0.9106503620960825,0.9103830438876591,0.8679329067818135,0.9103830438876591,0.8683268494047531,0.05585496079305176,33.88104111189535,194.365061366584,0.05947944405232386
Valence X,Helpfulness ~ Heuristic,audible,19,28,3924.4229289252494,0.0,61717.494801409535,0.9366922530084325,0.936413120112004,0.9062930191124269,0.936413120112004,0.9067043728545322,0.047015794763777735,33.915593824453964,194.39961407914262,0.042203087773018844
Valence O,Helpfulness ~ Heuristic + Systematic,coursera,18,28,31325.062622150348,0.0,162572.7558883772,0.8073942007477033,0.8073166536977561,0.7002703501965095,0.8073166536977561,0.7003909789408719,0.11970227296932753,35.48387684539979,210.20503178009824,0.2580615773001034
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Systematic",coursera,19,28,39906.15364921429,0.0,162572.7558883772,0.754608178952229,0.7545335721772845,0.6382600011033666,0.7545335721772845,0.6383699479296006,0.1315095256415607,33.342491660500976,198.35691576549394,0.3287541697495122
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",coursera,19,28,33102.950137411324,0.0,162572.7558883772,0.7964625191591493,0.7963807037869255,0.6999294582123112,0.7963807037869255,0.7000500282345358,0.11977036332579877,33.45458372238296,198.46900782737592,0.2727081388085226
Valence O,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",coursera,18,28,31324.67919630311,0.0,162572.7558883772,0.8073965596416901,0.8073190121854691,0.7002740189551742,0.8073190121854692,0.7003946483315179,0.11970153995444024,35.48388316286387,210.2050380975623,0.2580584185680648
Valence O,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",coursera,18,28,31325.763371084617,0.0,162572.7558883772,0.80738988963394,0.8073123433264984,0.700263645174553,0.8073123433264984,0.7003842727639067,0.11970361261546185,35.48386529960482,210.20502023430325,0.25806735019758964
Valence O,Helpfulness ~ Systematic,coursera,19,28,39906.60847441732,0.0,162572.7558883772,0.7546053807985724,0.7545307745055556,0.6382558782187135,0.7545307745055556,0.6383658243347383,0.13151027542777904,33.342484166635074,198.35690827162804,0.3287579166824619
Valence O,Helpfulness ~ Heuristic,coursera,19,28,33103.09781308699,0.0,162572.7558883772,0.7964616106359869,0.7963797954202385,0.6999281195666673,0.7963797954202385,0.7000486893582964,0.11977063063289961,33.45458128922467,198.46900539421765,0.27270935538766405
Valence ▲,Helpfulness ~ Heuristic + Systematic,coursera,18,28,14384.798381874662,0.0,133595.95638159328,0.8924382855658146,0.8923260945055326,0.8325072581197174,0.8923260945055327,0.8326817775468227,0.08108886743035018,35.762990816372984,210.48414575107142,0.11850459181350947
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Systematic",coursera,19,28,24333.94725228214,0.0,133595.95638159328,0.817958229571049,0.817854163319311,0.7315745564705637,0.8178541633193109,0.7317279172625986,0.10267798896974183,33.59906501157823,198.6134891165712,0.20046749421088217
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",coursera,19,28,17991.608305565984,0.0,133595.95638159328,0.8654422153901971,0.8653281971036898,0.8015362904685955,0.8653281971036898,0.8017043174171326,0.08827673112071509,33.70356370082932,198.7179878058223,0.1482181495853392
Valence ▲,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",coursera,18,28,14385.93778445748,0.0,133595.95638159328,0.8924297550573478,0.8923175657849509,0.8324939912210347,0.892317565784951,0.8326685078669853,0.0810920828660628,35.76297204316054,210.48412697785898,0.1185139784197311
Valence ▲,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",coursera,18,28,14385.352117999639,0.0,133595.95638159328,0.8924341398399985,0.8923219496486074,0.8325008105645004,0.8923219496486076,0.8326753286399977,0.08109043010984858,35.76298169281466,210.4841366275131,0.11850915359266834
Valence ▲,Helpfulness ~ Systematic,coursera,19,28,24333.819744038177,0.0,133595.95638159328,0.8179591842030387,0.8178551177512221,0.731575963001801,0.8178551177512221,0.7317293240886887,0.10267771974630704,33.59906711245056,198.61349121744354,0.20046644377472012
Valence ▲,Helpfulness ~ Heuristic,coursera,19,28,17991.643381592876,0.0,133595.95638159328,0.8654419527820997,0.8653279345506317,0.8015359035482994,0.8653279345506317,0.8017039304157259,0.08827681726278838,33.703563122903915,198.71798722789688,0.14821843854804406
Valence X,Helpfulness ~ Heuristic + Systematic,coursera,12,21,8627.761175736798,0.0,127837.01529167478,0.9325924755510824,0.9325096791719396,0.8818919385508943,0.9325096791719396,0.8820368322143941,0.0769083849956991,31.857845860713148,187.16553913600066,0.07107706964342508
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Systematic",coursera,13,21,18736.520948727488,0.0,127837.01529167478,0.8535119334928365,0.8534343053459283,0.7632400317126535,0.8534343053459285,0.7633654310268897,0.1089280108495335,29.691290248484545,175.29225269406658,0.15435487575772733
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic",coursera,13,21,12643.595009196837,0.0,127837.01529167478,0.9011814366112576,0.9010959777154604,0.8402319640018975,0.9010959777154604,0.8403700129874161,0.08946593756878321,29.79167951807957,175.39264196366162,0.10416024096021648
Valence X,"Systematic ~ Heuristic
Helpfulness ~ Heuristic + Systematic",coursera,12,21,8625.780752181696,0.0,127837.01529167478,0.9326079698813553,0.932525170956933,0.8819190491746327,0.932525170956933,0.8820639472923718,0.07689954538607482,31.857878490893814,187.16557176618133,0.07106075455309258
Valence X,"Heuristic ~ Systematic
Helpfulness ~ Heuristic + Systematic",coursera,12,21,8628.781399323128,0.0,127837.01529167478,0.932584493581186,0.9325016985132547,0.8818779723981958,0.9325016985132548,0.8820228637670755,0.07691293836156556,31.857829051137312,187.16552232642482,0.07108547443134405
Valence X,Helpfulness ~ Systematic,coursera,13,21,18736.531109818967,0.0,127837.01529167478,0.8535118539950407,0.8534342258611919,0.7632399033142331,0.8534342258611919,0.7633653026073735,0.1089280404066701,29.691290081066697,175.29225252664872,0.15435495946665156
Valence X,Helpfulness ~ Heuristic,coursera,13,21,12643.662533105507,0.0,127837.01529167478,0.9011809083213674,0.9010954495123533,0.8402311107507245,0.9010954495123533,0.8403691595960552,0.08946617671356297,29.791678405531023,175.39264085111307,0.10416079723448757
