,Unnamed: 0,product_name,Average_rating,Num_of_Rating,Review_Rating,review_title,Review_Text,Posted_Date,Helpfulness,has_images,price,time_lapsed,title_length,text_length,Deviation of star ratings,FOG Index,Flesch Reading Ease
10,10,"Energizer Rechargeable AA and AAA Battery Charger (Recharge Pro) with 4 AA NiMH Rechargeable Batteries, Auto-Safety Feature, Over-Charge Protection",4.7,62436,1,Defective,I bought this after I got 2 packs of generic rechargeable batteries. I thought name brands are more reputable. Guess not. So sad that even a rechargeable battery can go bust. I charged these batteries to full. I put them on my camera flash (2 batteries) and it shows 1 out of 3 bars. I put them onto another flash and same thing. I switched it to the other 2 batteries and got the same results. I put the batteries back to the charger and it started charging again (yellow light). Need to go back to one use batteries I guess!,2022-07-02,1,0,11.39,278,1,101,3.7,4.88,85.49
11,11,"Amazon Basics 2-Pack USB-A 3.0 Extension Cable, 4.8Gbps High-Speed, Male to Female Gold-Plated Connectors, 6 Foot, Black",4.7,85201,5,Solid,They work and they aren't flimsy.  Not much more to say.,2020-05-30,0,0,16.14,1045,1,11,0.3,2.2,99.73
12,12,"Fintie Case for iPad 9.7 2018 2017 / iPad Air 2 / iPad Air 1 - [Corner Protection] Multi-Angle Viewing Folio Cover w/Pocket, Auto Wake/Sleep for iPad 6th / 5th Generation, Ocean Marble",4.6,43430,5,Love it!,I absolutely love this product!  It is very sturdy and my iPad stands up perfectly when using it!  This is probably the fourth or fifth I have bought over the years as I love the variety of colors/prints it comes in.  The cover stays closed when not in use ??no issues at all with that.  I love too that it has a stylus holder on the side as I have long nails and use a stylus frequently.  You can?ôt go wrong with this!,2020-06-24,0,0,19.99,1013,2,84,0.4,7.93,82.85
13,13,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black",4.4,27106,3,Wish you could keep the backlight on when plugged in!,"Nice feeling keyboard, rather compact, but even when plugged in, the backlight on the kepboard shuts off rather quickly. It's annoying to have to keep hitting the spacebar to turn it on, esp when I'm in a rather dark room at night - which is why I wanted a backlit keyboard in the first place. Should definitely be an option to keep it on when plugged in for sure.Otherwise, nice keyboard.",2022-12-31,0,0,23.99,90,10,71,1.4,8.14,79.09
14,14,"Amazon Basics HDMI to DVI Adapter Cable, Bi-Directional 1080p, Gold Plated, Black, 3 Feet, 1-Pack",4.7,81186,5,Works great for connecting TV to PC (with audio!),"I used this to connect a PC to the HDMI input on my TV. It works fantastically and now the TV shows up as an additional audio option in Windows 10.To restate that point, some of these other reviews contain misinformation. The cable DOES transmit audio as long as your video card supports it.",2020-01-12,0,0,8.54,1168,9,54,0.3,7.62,66.23
15,15,1byone Amplified HD Digital TV Antenna - Support 4K 1080p and All Older TV's - Indoor Smart Switch Amplifier Signal Booster - Coax HDTV Cable/AC Adapter,4,16453,5,Great HDTV Antenna,This is an excellent antenna. I am able to get so many channels. It will save me so much money versus having cable. I am DELIGHTED.,2021-04-05,0,0,17.99,752,3,26,1,7.22,81.8
16,16,"YI Home Security Camera, 1080p 2.4G WiFi IP Indoor Surveillance Camera with Night Vision, Motion Detection, Phone App, Pet Cat Dog Cam Works with Alexa and Google Assistance",4.3,36643,5,Easy connection,I am pleased with camera. Connects easily. I just wished it swiveled from side to side.  It only moves up n down.  Very clear picture.,2020-01-16,0,0,57,1176,2,25,0.7,4.12,98.92
17,17,"Bluetooth Audio Adapter for Music Streaming Sound System, esinkin W29-us Wireless Audio Adapter Works with Smart Phones and Tablets, Wireless Adapter for Speakers",4.5,41802,5,Cheap and simple to use,I bought for my garage so I can play Pandora out there and it works great,2022-02-06,0,0,23.99,427,5,16,0.5,8.9,97.54
18,18,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26-55 Inch TVs and Flat Panels up to 80 Lbs, Black",4.7,27680,5,Great product,This wall mount bracket was exactly what I needed. Instruction was simple and I had no issue with the bolts that amazon provided. I read alot of review where people was having issues with the bolts. I had no issues. Threaded great into the stud in the wall.,2022-11-26,2,0,26.89,166,2,48,0.3,6.34,78.65
19,19,SABRENT 4 Port USB 2.0 Data Hub with Individual LED lit Power Switches [Charging NOT Supported] for Mac & PC (HB-UMLS),4.6,119789,5,Just what I needed!,"Once my dining room became my office (because of the pandemic), I needed this product to hook up my accessories. It?ôs just what a needed and it works well.",2020-10-31,0,0,7.95,873,4,29,0.4,8.56,73.68
20,20,Betron YSM1000 Earphones in Ear Headphones Wired 3.5mm Jack Tangle-Free Cable Case and Noise Isolating Earbuds,4.3,15398,1,DOES NOT STAY IN YOUR EAR,Ummm....these are so heavy and bulky....how are they supposed to stay in your ear?  They don't! A waste of money for me.,2020-10-18,0,0,18.53,1006,6,22,3.3,2.92,97.91
21,21,"Logitech MK550 Wireless Wave Keyboard and Mouse Combo - Includes Keyboard and Mouse, Long Battery Life, Ergonomic Wave Design, Black",4.5,20592,2,meh. keyboard is ok,"the mouse is sketchy for me, it just stalls out or freezes up randomly. works 'most' of the time i guess.Got this for use with my HP work laptop and I'm unimpressed. The keyboard works fine (i wouldn't say great, it still stalls out or has delays occasionally.) but the mouse drove me crazy. I eventually just plugged my old wired mouse back in, as I'd rather deal with a wire than delays. I was hoping the tech had advanced enough to have a nice wireless experience without dropping too much money but I guess that's just wishful thinking.If you require wireless , and you're ok with your mouse sometimes just stalling out for a few seconds, then I suppose I'd recommend. But, if you don't absolutely require wireless, IMO, skip this setup. Maybe try a 'nicer' set or wait for the tech to advance and see if the next iteration of 'cheap' wireless keyboard/mouse is better.",2020-09-15,0,0,29.99,1052,4,157,2.5,8.03,81.02
22,22,"Handsfree Call Car Charger,Wireless Bluetooth FM Transmitter Radio Receiver,Mp3 Audio Music Stereo Adapter,Dual USB Port Charger Compatible for All Smartphones,Samsung Galaxy,LG,HTC,etc.",4.3,45909,4,Practico,"La conexi√≥n a bluetooth me ha funcionado muy bien, la m√∫sica se escucha bastante bien y sube bastante. Lo √∫nico que no me ha funcionado bien es el cargador es un poco lento y tambi√©n las emisoras en mi pa√≠s (Rep. Dom.) no se conectan, pero para usarlo con el celular es fant√°stico y muy practico. Es peque√±o y tiene un dise√±o elegante.",2020-01-21,0,0,16.99,1177,1,63,0.3,9.49,63.9
23,23,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black",4.2,46398,1,Eating batteries in les than 3 weeks,"Worst mouse ever, eating batteries in less than 3 weeks. I have a Logitech where batteries last up to 6 months.",2022-05-17,0,0,19.99,330,7,21,3.2,6.1,86.2
24,24,"UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad 10.2, iPad Pro 11 Inch, iPad 9.7, iPad Mini 5 4 3 2 iPad Air iPhone 14 13 12 Black",4.6,40796,5,Can go anywhere,Bought this for my son (14) who uses his iPad pretty much everywhere. He is very happy with it. Probably his favorite Christmas present and certainly most useful,2020-02-28,0,0,14.99,1133,3,28,0.4,5.15,78.96
25,25,"Bose Solo 5 TV Soundbar Sound System with Universal Remote Control, Black",4.5,18244,5,Blew us away!,We added this to our meager living room set up and were astounded. It blew us away!,2020-07-20,0,0,8.97,976,3,17,0.5,5.75,96.69
26,26,"Energizer Rechargeable AA and AAA Battery Charger (Recharge Pro) with 4 AA NiMH Rechargeable Batteries, Auto-Safety Feature, Over-Charge Protection",4.7,62436,2,No lights or power?,"I wonder if mine just came messed up, but I was hoping to get a battery charger but I guess not today lol. Lights don?ôt come on and I?ôm not too sure if it?ôs just the lights or what?",2020-08-18,0,1,11.39,961,4,39,2.7,7.8,93.98
27,27,"Midland - WR120B - NOAA Emergency Weather Alert Radio - S.A.M.E. Localized Programming, Trilingual Display, 60+ Emergency Alerts, & Alarm Clock (WR120B - Box Packaging)",4.6,18908,1,A Thing Of The Past,My phone provided better alerts that come across crisp and clear.  A thing of the past.,2020-08-31,0,0,39.99,1089,5,16,3.6,5.7,97.2
28,28,"Energizer Rechargeable AA and AAA Battery Charger (Recharge Pro) with 4 AA NiMH Rechargeable Batteries, Auto-Safety Feature, Over-Charge Protection",4.7,62436,5,Fast recharging battery recharger,"The Energizer battery recharger is excellent.  Charging is very fast, the unit alerts you with red, tmyellow and greens lights to indicate the process. I'm very satisfied",2021-08-12,0,0,11.39,602,4,27,0.3,9.53,70.8
29,29,"JETech Case for iPad Air 1st Edition (NOT for iPad Air 2/3/4/5), 9.7 Inch, Smart Cover with Auto Wake/Sleep (Dark Grey)",4.6,46314,5,Great cover! (Rose gold),"5 stars based in the fact that my wife, for whom this was a Christmas present, has said every day for the past seven weeks:  ?úI LOVE this cover!?? It looks nicer than the photo, protects the iPad well, and supports the iPad as a stand very well both horizontally and vertically.",2020-02-13,0,0,9.99,1227,4,52,0.4,11.94,70.47
30,30,Logitech Wireless Mouse M525 - Red/Black,4.7,28835,2,Didn't work well,"It was shakie, not staying on point..",2020-02-27,0,0,11.99,1128,3,7,2.7,2.8,106.67
31,31,"Amazon Basics 3.5mm Aux Jack Audio Extension Cable, Male to Female, Adapter for Headphone or Smartphone, 6 Foot, Black",4.6,57765,5,Works great,Works great,2020-01-14,0,0,6.99,1223,2,2,0.4,0.8,120.21
32,32,"Amazon Basics USB Type-C to USB-A 2.0 Male Charger Cable, 6 Feet (1.8 Meters), White, Laptop",4.6,80815,5,USB Cable,Thank you!,2020-03-03,0,0,7.82,1137,2,2,0.4,0.8,120.21
33,33,"Logitech M510 Wireless Computer Mouse ??Comfortable Shape with USB Unifying Receiver, Back/Forward Buttons and Side-to-Side Scrolling - Red",4.7,15469,5,Functional,Great for Arthritic Hand & Laptop,2022-07-19,0,0,15.99,327,1,6,0.3,2,83.32
34,34,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black",4.2,46398,5,It's like an extension of your wrist!,This is the third Anker I bought for myself and as gifts. Perfect in every way.,2020-04-10,0,0,19.99,1097,7,16,0.8,3.2,97.2
35,35,"Logitech M510 Wireless Computer Mouse ??Comfortable Shape with USB Unifying Receiver, Back/Forward Buttons and Side-to-Side Scrolling - Red",4.7,15469,5,Cordless!,Works and feels good to my hand.,2021-04-21,0,0,15.99,781,1,7,0.3,2.8,115.13
36,36,"D-FantiX Battery Tester, Universal Battery Checker Small Battery Testers for AAA AA C D 9V 1.5V Button Cell Household Batteries Model BT-168",4.5,23236,5,Great buy,Very easy to use and worth every penny knowing what batteries to throw out.,2020-01-03,0,0,7.99,1203,2,14,0.5,8.46,74.19
37,37,"Fintie Rotating Case for iPad 6th / 5th Generation (2018 2017 Model, 9.7 inch), iPad Air 2 / iPad Air 1-360 Degree Rotating Protective Stand Cover Auto Sleep Wake, Composition Book",4.5,25873,1,Not worth it! Not durable or rugged,Originally rated this 4 stars but I am now rating it 1 star. This is NOT a durable case! The previous case my husband had for 4 yrs. He had to get another because the case was tearing apart. This case didn't even last half a year. The case is horrible!A screen protector got cracked first and then my husband's whole IPad screen got cracked. The IPad accidentally got dropped from a major height and now he's going to have to get a new Ipad screen. I suggested he get a Unicorn Beetle Defender from the get-go like I have. I've had mine several years and dropped my tablet several times. No issues whatsoever. This case takes one major fall and it's kaput.,2020-08-30,0,0,13.99,957,7,123,3.5,6.72,86.4
38,38,"sephia SP3060 Earbuds - HD Bass Driven Audio, Lightweight Aluminum in Ear Headphone, S/M/L Ear Bud Tips, Earphone Case, 3.5mm Tangle-Free Cord - for Music, Podcasts, and More (Without Mic)",4.3,33336,2,"Works ok, but after less than a year, ear part is breaking from  cable",Have to throw these away because the ear piece is breaking off the cable,2021-04-17,0,0,13.99,709,14,14,2.3,5.6,91.11
39,39,"UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad 10.2, iPad Pro 11 Inch, iPad 9.7, iPad Mini 5 4 3 2 iPad Air iPhone 14 13 12 Black",4.6,40796,5,Ugreen tablet stand,Works great for iPhone and tablet.  Getting ready to buy another one.,2022-06-01,0,0,14.99,309,3,12,0.4,2.4,90.77
40,40,"Handsfree Call Car Charger,Wireless Bluetooth FM Transmitter Radio Receiver,Mp3 Audio Music Stereo Adapter,Dual USB Port Charger Compatible for All Smartphones,Samsung Galaxy,LG,HTC,etc.",4.3,45909,5,Easy to use!,"Pretty close to plug and play. Easy to use, great sound quality. Glad to hear my Playlist again!",2022-03-08,0,0,16.99,400,3,18,0.7,4.62,99.23
41,41,"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design",3.9,110468,5,Amazing,It?ôs easy to install,2022-01-19,0,0,29.99,420,1,4,1.1,1.6,92.8
42,42,"TOSLINK Cable, Optical Audio Cable ??35 feet Long Fiber Optic Cable for soundbars (TOSLINK to TOSLINK, Digital S/PDIF Cable, Stereo Systems/amplifiers/amps, Home Cinema, Xbox One/PS5) ??CableDirect",4.7,28915,4,Dry good,Works fine.,2020-01-10,0,0,8.99,1323,2,2,0.7,0.8,120.21
43,43,"UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad 10.2, iPad Pro 11 Inch, iPad 9.7, iPad Mini 5 4 3 2 iPad Air iPhone 14 13 12 Black",4.6,40796,5,"Sturdy, slightly larger size is good for a tablet","I wanted a slightly larger stand that would hold my tablet without fear of it tipping over. This is it! It's bigger than your average phone stand, though you could put a phone on it if you wanted. It's easily adjustable and holds my tablet well. Very happy with this little stand.",2023-02-06,0,0,14.99,59,9,52,0.4,5.7,86.3
44,44,"D-FantiX Battery Tester, Universal Battery Checker Small Battery Testers for AAA AA C D 9V 1.5V Button Cell Household Batteries Model BT-168",4.5,23236,4,needed in every home,worked like a champ,2020-02-23,0,0,7.99,1152,4,4,0.5,1.6,118.18
45,45,Universal Remote Control for Most Samsung LCD LED HDTV 3D Smart Home Entertainment TVs (One pcs),4.4,19605,5,So easy!,I just put in the batteries and turned on my tv.  It was so easy to use with no set up.,2020-08-04,0,0,11.99,992,2,21,0.6,6.1,103.12
46,46,"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black",4.6,16085,5,Good,Realy good soud. Good product.,2022-11-03,0,0,118,172,1,5,0.4,2,83.32
47,47,"Amazon Basics 3.5mm Aux Jack Audio Extension Cable, Male to Female, Adapter for Headphone or Smartphone, 6 Foot, Black",4.6,57765,1,does not even work,it does not even work,2023-03-20,2,0,6.99,62,4,5,3.6,2,117.16
48,48,"iFixit Pro Tech Toolkit - Electronics, Smartphone, Computer & Tablet Repair Kit",4.9,17318,5,Works great for apple products,A great kit,2020-12-16,0,0,74.95,981,5,3,0.1,1.2,119.19
49,49,"Upgraded, Anker Soundcore Boost Bluetooth Speaker with Well-Balanced Sound, BassUp, 12H Playtime, USB-C, IPX7 Waterproof, Wireless Speaker with Customizable EQ via App, Wireless Stereo Pairing",4.6,28665,5,Excelent speaker!,The best speaker you can find under 100$! Excelent price!,2021-10-21,0,0,101,663,2,10,0.4,8,78.25
50,50,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black",4.4,27106,5,It does exactly what it is advertised to do,This keyboard is awesome with my tablet,2021-03-31,0,0,23.99,730,9,7,0.6,2.8,89.75
51,51,"RCA to HDMI, GANA 1080P Mini RCA Composite CVBS AV to HDMI Video Audio Converter Adapter Supporting PAL/NTSC with USB Charge Cable for PC Laptop Xbox PS4 PS3 TV STB VHS VCR Camera DVD (Black)",4.4,18061,2,Not a great picture,Picture quality is blurry. Using it to play Nintendo Wii on my flat screen. 720 or 1080 switch does not seem to make a difference,2020-08-25,1,0,6.99,932,4,25,2.4,6.52,79.97
52,52,"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design",3.9,110468,5,Did the Job,I was having difficulty with my wifi in the house and decided as a last resort to try this. Eureka! It worked. Easy to set up. Thanks.,2022-07-25,0,0,29.99,233,3,27,1.1,9.84,83.15
53,53,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black",4.2,46398,3,Too smooth,The mouse is too smooth. My hand slips and it's really hard to get a grip on the mouse.,2022-07-10,0,0,19.99,276,2,19,1.2,3.8,104.13
54,54,"Anker 2-in-1 USB 3.0 SD Card Reader for SDXC, SDHC, MMC, RS-MMC, Micro SDXC, Micro SD, Micro SDHC and UHS-I Cards",4.6,38267,5,Works like a charm,"Works great, quick shipping and arrived just as described!",2020-01-04,0,0,11.99,1212,4,9,0.4,3.6,87.72
55,55,SAMSUNG TV Remote Control BN59-01199F by Samsung,4.7,23674,5,Super,Actually works real good,2021-10-02,0,0,5.99,545,1,4,0.3,11.6,33.58
56,56,"Fujifilm Instax Mini Instant Film, 10 Sheets√ó5 Pack(Total 50 Shoots)",4.8,50332,1,Terrible,Terrible don?ôt buy this the film doesn?ôt even work they?ôre all broken,2020-06-19,1,0,51,1154,1,12,3.8,4.8,84.68
57,57,"Fujifilm Instax Mini Instant Film, 10 Sheets√ó5 Pack(Total 50 Shoots)",4.8,50332,5,Just what I expected.,Exactly what I expected.,2020-11-13,0,0,51,1007,4,4,0.2,21.6,33.58
58,58,"NETGEAR Wi-Fi Range Extender EX6120 - Coverage Up to 1500 Sq Ft and 25 Devices with AC1200 Dual Band Wireless Signal Booster & Repeater (Up to 1200Mbps Speed), and Compact Wall Plug Design, White",3.9,110444,1,Complete waste,"This was a complete waste of money. It does not extend the existing network, but instead forces you to create a new one that supposedly extends the original one? But even when I am right next to the unit, the signal on the new network is weaker than the original, whose source is much further away. What is the point of this thing? A complete waste.",2022-11-27,0,0,29.99,110,2,66,2.9,7.1,83.46
59,59,Apple Lightning to 3.5 mm Headphone Jack Adapter,4.7,223181,2,Doesn?ôt work with microphones,This adapter does not work with microphones. Works ok for just listening to sound.,2020-04-26,1,0,9.99,1059,4,14,2.7,8.51,89.75
60,60,"Midland - WR120B - NOAA Emergency Weather Alert Radio - S.A.M.E. Localized Programming, Trilingual Display, 60+ Emergency Alerts, & Alarm Clock (WR120B - Box Packaging)",4.6,18908,5,It does what it is supposed to do.,"I have another Midland model and the only negative is the warning is really loud. I bought this one for a good friend and warned him, it is loud.OTOH, a NOAA warning for a tornado needs to be loud.",2021-12-15,0,0,39.99,618,8,39,0.4,7.25,75.2
61,61,Amazon Basics Adjustable Tablet Holder Portable Stand - Black,4.6,29617,5,Works great with iPad with case,Bought this for use in the kitchen. Use my iPad for recipes and it fits perfect even with my case that is a little thick. iPhone fits on it well. It is sturdy and well made and folds away for easy storage.,2021-01-21,0,0,34.99,824,6,42,0.4,4.2,103.12
62,62,Sony MDREX15LP/P In-Ear Headphone (Pink),4.3,33087,5,Great headphones  for the price,I need headphones for my Roku and like to keep spares in my gym bag in case my air pods run out of battery. These are perfect for having an extra set or two handy.,2021-10-06,0,0,19.99,688,5,35,0.7,7,96.01
63,63,1byone Amplified HD Digital TV Antenna - Support 4K 1080p and All Older TV's - Indoor Smart Switch Amplifier Signal Booster - Coax HDTV Cable/AC Adapter,4,16453,3,Nice,"Did not work for me in Cumming, GA. Tvs are in northern rooms and south side of home is army corps property full of dense trees. Did not EXPECT it to work; only hoped. One channel in family room - Pixelated.. two channels upstairs - crisp. Was definitely worth a try.",2020-01-28,0,0,17.99,1185,1,51,1,5.73,88.53
64,64,"fire-Cable Plus Wireless Adapter, Powers Streaming TV Sticks Directly from TV USB Port (Eliminates AC Outlet and Cords)",4.1,19987,5,Easy,Good for what I needed it to do,2021-02-08,0,0,9.99,866,1,8,0.9,3.2,105.66
65,65,"Arteck HB030B Universal Slim Portable Wireless Bluetooth 3.0 7-Colors Backlit Keyboard with Built in Rechargeable Battery, Black",4.4,27106,3,Does't work with my LG Tv,Does not pair with LG 65SM8600PUA TV. Wasted my money.Not worth sending back. Just make sure it works with yours!,2021-01-01,0,0,23.99,819,6,20,1.4,2,100.24
66,66,"Sony ZX Series Wired On-Ear Headphones with Mic, White MDR-ZX110AP",4.5,104579,5,"Inexpensive, nice sound quality, comfortable","I bought these to practice on my digital piano, but with all this COVID-19 chaos I am suddenly using them nonstop -- Zoom calls, Skype, FaceTime, etc.  The sound quality is so much better than I expected.  Bass and treble come out clearly and they're quite comfy.",2020-03-27,0,0,36.99,1099,5,47,0.5,9.6,72.87
67,67,"Logitech Z623 400 Watt Home Speaker System, 2.1 Speaker System - Black",4.6,16085,5,"After some break-in time, these are great",I am changing my initial review now that I've had these for some time.  Crisp and powerful for the price!,2021-08-21,1,0,118,611,7,20,0.4,4,86.71
68,68,"TOSLINK Cable, Optical Audio Cable ??35 feet Long Fiber Optic Cable for soundbars (TOSLINK to TOSLINK, Digital S/PDIF Cable, Stereo Systems/amplifiers/amps, Home Cinema, Xbox One/PS5) ??CableDirect",4.7,28915,5,It's good.,There's not much to say about the quality of a cable that passes through light. It either works or it doesn't; this one works.,2022-06-14,0,0,8.99,437,2,24,0.3,6.47,84.68
69,69,"Mounting Dream TV Wall Mount Swivel and Tilt for Most 26-55 Inch TV, TV Mount Perfect Center Design, Full Motion TV Mount Bracket with Articulation, up to VESA 400x400mm, 60 lbs, MD2377",4.8,44978,5,where stud is,"this was easy to put , i found stud and  picked holes in center strong and will not disappoint",2020-08-19,1,0,37.99,984,3,19,0.2,9.42,87.05
70,70,"UGREEN Tablet Stand Holder Adjustable Portable Desktop Dock Office Compatible for iPad 10.2, iPad Pro 11 Inch, iPad 9.7, iPad Mini 5 4 3 2 iPad Air iPhone 14 13 12 Black",4.6,40796,5,It does what I needed!,It holds my iPad securely and allows me to adjust it within a reasonable range.  It does exactly what I purchased it to do.,2021-05-19,0,0,14.99,687,5,24,0.4,9.8,76.22
71,71,"sephia SP3060 Earbuds - HD Bass Driven Audio, Lightweight Aluminum in Ear Headphone, S/M/L Ear Bud Tips, Earphone Case, 3.5mm Tangle-Free Cord - for Music, Podcasts, and More (Without Mic)",4.3,33336,5,So far so good,I like it,2021-04-26,0,0,13.99,700,4,3,0.7,1.2,119.19
72,72,"fire-Cable Plus Wireless Adapter, Powers Streaming TV Sticks Directly from TV USB Port (Eliminates AC Outlet and Cords)",4.1,19987,2,Not much difference,After installing it I couldn't see too much difference one way or the other,2020-01-22,0,0,9.99,1249,3,14,2.1,5.6,74.19
73,73,Logitech K350 Wave Ergonomic Keyboard with Unifying Wireless Technology - Black,4.6,24205,3,Needs revisions,"-1 star for the slight inaccuracy. I type 179 wpm, it couldn?ôt keep up with me 100% of the time-1 star for not having lights. I didn?ôt notice in the photos or reviews (kind of shocked I didn?ôt see others mention it, just talked about how wonderful the key",2021-06-11,0,0,49.99,693,2,207,1.6,8.27,79.3
74,74,"NEEWER Ring Light Kit: 18""/48cm Outer 55W 5600K Dimmable LED Ring Light, Light Stand, Carrying Bag for Camera, Smartphone, YouTube, TikTok, Self Portrait Shooting, Black",4.7,60969,5,I hate the thing sticking up in the middle of my ring light & I wanna break it off SOO BAD,"I really like this ring light, the only reason I didn?ôt give it 5 star was because the part where you insert your phone or camera at, Idk what that thing is for in the middle of the ring light! And it?ôs always in the way that it makes it hard for me to stick my phone in to be able to get a grib of it. Everytime I do it, it ends up making my phone being crooked taking weird picture/vid angle. The only way for it to work is if I turn my phone side ways. But to make it stand upright, it won?ôt let me cus whatever that thing is in the middle of the ring light is always in the damn way. I wanna break it off but I don?ôt know if I can.Also, for the remote control. It sucks that I can?ôt use it to take pictures/ videos using Snapchat/IG/ Tiktok. Unless someone knows how i can connect to it, pls lmk. Thanks!",2021-06-07,0,0,55.96,679,21,168,0.3,7.96,86.33
