url,Product_Name,Categories
https://www.audible.com/pd/Outlander-Audiobook/B002V1CJ8W,Outlander,Romance
https://www.audible.com/pd/The-Hobbit-Audiobook/1705009050,The Hobbit,Literature & Fiction
https://www.audible.com/pd/How-to-Date-Your-Dragon-Audiobook/B078892NLF,How to Date Your Dragon,Romance
https://www.audible.com/pd/Empire-of-Pain-Audiobook/0593162390,Empire of Pain,Biographies & Memoirs
https://www.audible.com/pd/Red-White-Royal-Blue-Audiobook/B07HMJSJG5,Red White Royal Blue,LGBTQ+
https://www.audible.com/pd/The-Lincoln-Highway-Audiobook/0593452100,The Lincoln Highway,Literature & Fiction
https://www.audible.com/pd/Aristotle-and-Dante-Discover-the-Secrets-of-the-Universe-Audiobook/B00BWA3S3S,Aristotle and Dante Discover the Secrets of the Universe,Children's Audiobooks
https://www.audible.com/pd/You-Audiobook/B00MTTGXSI,You,Literature & Fiction
https://www.audible.com/pd/West-Cork-Podcast/B08DDFD4W7,West Cork,No categories info
https://www.audible.com/pd/It-Audiobook/B019WPM4ZM,It,Literature & Fiction
https://www.audible.com/pd/The-Hunger-Games-Special-Edition-Audiobook/B07HHH7L77,The Hunger Games Special Edition,Teen & Young Adult
https://www.audible.com/pd/Dracula-Audible-Edition-Audiobook/B0078PA1OA,Dracula Audible Edition,Literature & Fiction
https://www.audible.com/pd/The-Gray-Man-Audiobook/B003UNYZ7I,The Gray Man,"Mystery, Thriller & Suspense"
https://www.audible.com/pd/Little-Fires-Everywhere-Audiobook/B074F38TWD,Little Fires Everywhere,Literature & Fiction
https://www.audible.com/pd/Evil-Eye-Audiobook/B07QP1X8B7,Evil Eye,Literature & Fiction
https://www.audible.com/pd/Their-Eyes-Were-Watching-God-Audiobook/B002UZN75I,Their Eyes Were Watching God,Literature & Fiction
https://www.audible.com/pd/Not-My-Fathers-Son-A-Memoir-Audiobook/B00MOVZC3S,Not My Fathers Son A Memoir,"Relationships, Parenting & Personal Development"
https://www.audible.com/pd/We-Are-Legion-We-Are-Bob-Audiobook/B01L082HJ2,We Are Legion We Are Bob,Science Fiction & Fantasy
https://www.audible.com/pd/Impact-Winter-Audiobook/B09PSLLWFG,Impact Winter,Science Fiction & Fantasy
https://www.audible.com/pd/Alien-Out-of-the-Shadows-Podcast/B08GC2361R,Alien Out of the Shadows,No categories info
https://www.audible.com/pd/The-Things-They-Carried-Audiobook/B00FFHJXSI,The Things They Carried,Literature & Fiction
https://www.audible.com/pd/A-Man-Called-Ove-Audiobook/1797108263,A Man Called Ove,Literature & Fiction
https://www.audible.com/pd/A-Little-Life-Audiobook/B0BJ7RH25W,A Little Life,Literature & Fiction
https://www.audible.com/pd/Nothing-to-See-Here-Audiobook/0062957864,Nothing to See Here,Literature & Fiction
https://www.audible.com/pd/Lincoln-in-the-Bardo-Audiobook/B01MYV9WSI,Lincoln in the Bardo,Literature & Fiction
https://www.audible.com/pd/Jurassic-Park-Audiobook/B00U7UORMU,Jurassic Park,Literature & Fiction
https://www.audible.com/pd/Her-Royal-Spyness-Audiobook/B003VW6KU8,Her Royal Spyness,"Mystery, Thriller & Suspense"
https://www.audible.com/pd/The-Sea-in-the-Sky-Podcast/B08JC5J5HR,The Sea in the Sky,No categories info
https://www.audible.com/pd/And-Then-There-Were-None-Audiobook/B00ENI4SS0,And Then There Were None,Literature & Fiction
https://www.audible.com/pd/Funny-My-Way-Podcast/B09Y67XCTV,Funny My Way,No categories info
https://www.audible.com/pd/Mythos-Audiobook/1452184712,Mythos,History
https://www.audible.com/pd/Angelas-Ashes-Audiobook/B002UZZ14S,Angelas Ashes,Biographies & Memoirs
https://www.audible.com/pd/The-Autobiography-of-Malcolm-X-Audiobook/B084YVRDJX,The Autobiography of Malcolm X,Biographies & Memoirs
https://www.audible.com/pd/I-Know-Why-the-Caged-Bird-Sings-Audiobook/B004EC2RSS,I Know Why the Caged Bird Sings,Biographies & Memoirs
https://www.audible.com/pd/Between-the-World-and-Me-Audiobook/B010N1IC5A,Between the World and Me,History
https://www.audible.com/pd/Kitchen-Confidential-Audiobook/B002VA8GSA,Kitchen Confidential,Biographies & Memoirs
https://www.audible.com/pd/Code-Name-Verity-Audiobook/B0088PHSTA,Code Name Verity,Literature & Fiction
https://www.audible.com/pd/Calypso-Audiobook/B07BGGTGBQ,Calypso,Biographies & Memoirs
https://www.audible.com/pd/In-Cold-Blood-Audiobook/B002UZJTXM,In Cold Blood,Biographies & Memoirs
https://www.audible.com/pd/Mandela-The-Lost-Tapes-Podcast/B0BKMWXX38,Mandela The Lost Tapes,No categories info
https://www.audible.com/pd/Life-of-Pi-Audiobook/B074WFWVRZ,Life of Pi,Literature & Fiction
https://www.audible.com/pd/Sapiens-Audiobook/B0741G911Q,Sapiens,History
https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S,Becoming,Biographies & Memoirs
https://www.audible.com/pd/From-Scratch-Audiobook/1508283826,From Scratch,Biographies & Memoirs
https://www.audible.com/pd/Summer-of-85-Audiobook/B0B6D2GT26,Summer of 85,History
https://www.audible.com/pd/The-1619-Project-Audiobook/0593452283,The 1619 Project,History
https://www.audible.com/pd/The-Boys-in-the-Boat-Audiobook/B00D3PBYAE,The Boys in the Boat,History
https://www.audible.com/pd/Little-Princes-Audiobook/B004J6NC3S,Little Princes,Travel & Tourism
https://www.audible.com/pd/Beginners-Mind-Audiobook/B08ZYXLTYG,Beginners Mind,Biographies & Memoirs
https://www.audible.com/pd/When-Breath-Becomes-Air-Audiobook/B0191YTGI2,When Breath Becomes Air,Biographies & Memoirs
https://www.audible.com/pd/The-End-of-the-Affair-Audiobook/B007ZEAI3I,The End of the Affair,Literature & Fiction
https://www.audible.com/pd/The-Immortal-Life-of-Henrietta-Lacks-Audiobook/B0035FVJQQ,The Immortal Life of Henrietta Lacks,Biographies & Memoirs
https://www.audible.com/pd/Feeding-the-Dragon-Audiobook/B07DQR8X3R,Feeding the Dragon,Literature & Fiction
https://www.audible.com/pd/Atlas-of-the-Heart-Audiobook/1984844261,Atlas of the Heart,Business & Careers
https://www.audible.com/pd/Direct-Deposit-Podcast/B0BC2QG7GY,Direct Deposit,No categories info
https://www.audible.com/pd/Big-Magic-Audiobook/B00U0CAEB8,Big Magic,Health & Wellness
https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,The 5 Second Rule,"Relationships, Parenting & Personal Development"
https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G,Harry Potter and the Sorcerers Stone Book 1,Children's Audiobooks
https://www.audible.com/pd/The-Sellout-Audiobook/B00YQEF862,The Sellout,Literature & Fiction
https://www.audible.com/pd/Heavy-Audiobook/B07CPGYSFQ,Heavy,Biographies & Memoirs
https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,Born a Crime,Comedy & Humor
https://www.audible.com/pd/The-Fault-in-Our-Stars-Audiobook/B09VQ572P3,The Fault in Our Stars,Teen & Young Adult
https://www.audible.com/pd/Finding-Me-Audiobook/B09F4X96MC,Finding Me,Biographies & Memoirs
https://www.audible.com/pd/The-Goldfinch-Audiobook/B00ELMXI0M,The Goldfinch,Literature & Fiction
https://www.audible.com/pd/Girls-Boys-Audiobook/B07DL1VSHB,Girls Boys,Literature & Fiction
https://www.audible.com/pd/The-Great-Gatsby-Audiobook/B00BWYDMK8,The Great Gatsby,Literature & Fiction
https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH,Cant Hurt Me,"Relationships, Parenting & Personal Development"
https://www.audible.com/pd/The-Hitchhikers-Guide-to-the-Galaxy-Audiobook/B002VA9SWS,The Hitchhikers Guide to the Galaxy,Science Fiction & Fantasy
