X,Unnamed..0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation.of.star.ratings,FOG.Index,Flesch.Reading.Ease,Depth,Breadth,sentiment_score_continuous,sentiment_score_discrete,valence,arousal
13,13,crestfieldhotel,"Convenience for St Pancras  early EurostarTiny tiny rooms, but did the job",2024-05-31,8.0,7.8,6515,0,0,Perfectly located for an early start on Eurostar,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,8,12,185,0.2,8.13,76.22,3.30962263688705,0.0029910141700931,4.103,4,-0.08989383499098721,0.07812462506121008
14,14,blakemore,The property was wellmaintained and very clean the room was as described and well appointed We had daily housekeeping and dining room and bar were comfortable and relaxingOur room wouldnt cool when we first arrived but that was quickly corrected by staff Other than that I have nothing bad to say about the hotel,2024-10-24,9.0,8.3,12340,0,0,We would definitely stay here again and would certainly recommend it to friends and family traveling to London,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,18,54,39,0.699999999999999,26.79,33.59,3.23570498447071,0.0615349850036995,4.388,4,-0.07105094694896646,0.16643686621795692
15,15,lancaster-gate,"LocationFood, Bed, Staff",2022-04-25,5.0,7.7,14445,0,1,"uncomfortable bed, dinner service was shocking I had finished my meal but my disabled mum was still eating, they come ov",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,21,3,952,2.7,14.53,34.59,3.30953191748604,0.0116769213768921,4.095,4,0.12484532894169417,-0.13090519141916526
16,16,royal-national,We have been several times and its comfortable,2023-11-21,9.0,7.5,9767,0,1,We loved it good area,3,8.3,7.5,8.0,7.9,7.3,8.9,2024-12-02,5,8,377,1.5,8.2,71.82,3.30806763380204,0.0126851471110912,4.362,4,0.26582602837632446,-0.2048498065714748
17,17,crestfieldhotel,"Comfy, friendly staffA lift is needed for upstairs room and to add bfast even if grab to go",2023-12-17,7.0,7.8,6515,0,0,Value for money,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,3,18,351,0.8,7.2,87.05,3.30259416441482,0.0234375304690505,4.303,4,0.36862580734711653,0.11682598806287933
18,18,marlin-waterloo,"I have never stayed in a terrible place before there is always a first time No parking place in front of hotel, lousy welcome, dirty receltion area, lift filthy, bad smell on 4th floor like entering the stinky kitchen of a chinese restaurant the bed was uncomfortable, bathroom semi clean, they clean the room every second day Gosh this is a disasterous place I cant believe I caused this on myself and my familyJust about everything",2022-11-20,1.0,8.1,10695,0,0,Disaster Catastrophy,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,2,76,743,7.1,33.03,11.26,3.29269433624488,0.0207168105469793,1.06,1,-0.0023471921772439943,0.06631795383073404
19,19,park-plaza-county-hall,"Very good hotel, spacious room with a great view Look forward to staying here again in future",2024-11-11,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,17,21,1.4,6.8,79.6,3.28595317846239,0.0328759616799813,4.541,5,0.43053221566816174,0.07363225545332658
20,20,montcalm-chilworth-townhouse,Everything was perfect cant fault anything and the staff were amazing and very helpful Would 100 stay againNothing,2023-08-04,10.0,7.7,9205,0,0,Perfect location and great hotel and staff,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,7,18,486,2.3,9.42,70.13,3.31636213809992,0.0057997629369899,4.692,5,0.144624270759883,0.1965723292437665
21,21,park-plaza-county-hall,The front desk staff were very nice and great with the kids The kids got little activity packs on arrival and got to choose out of a little surprise box which they loved Very clean and large rooms,2024-06-06,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,38,179,1.4,16.25,66.75,3.28744308495219,0.0183511796413084,4.401,4,0.65736903833126,-0.06046794059108135
22,22,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,23,12,22,1.4,14.8,42.38,3.29579242122099,0.0307239627439515,4.735,5,0.6367878175551535,0.08359124199760917
23,23,lancaster-gate,"Great location
Great breakfast selection
Friendly staff
Quiet roomRoom was a bit tired
Old fashioned hairdryer in the bathroom",2022-10-30,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,2,19,764,0.3,11.81,52.19,3.27887749763259,0.0461004809920989,4.292,4,0.2648641037722066,-0.36986887382820305
24,24,marlin-waterloo,NATge extra bed for kids was unfortunately not in good shape Like sleeping on the rocky mountains,2024-07-14,8.0,8.1,10695,0,0,Overall great place to stay,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,5,17,141,0.0999999999999996,9.15,71.14,3.31087736483957,0.0079651791063817,3.42,4,0.034676963970864165,0.0675393806491708
25,25,astorcourthotel,location staffwet towels,2022-02-28,6.0,7.9,7132,0,0,great weekend,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02,2,3,1008,1.9,14.53,34.59,3.3073932571822,0.0135986090832866,3.925,4,0.32606394304970726,-0.09220783701528242
26,26,zedwell-trocaderor,"Clean  modern, nice helpful staff, easy check in  out, close to tourist attractions, despite being right in the middle off london  in the middle off the hotel never heard a soundBit of a maze finding the room",2022-08-30,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,37,825,0.4,15.88,50.84,3.30922664092157,0.016946153352822,4.299,4,0.5000769678025847,-0.19455566872915386
27,27,keystone-house," The room was very small, no space for luggage
 bed was awfully worn out
 rooms where very smelly, like worn shirts or something
 neighbours could be overheard, like they would be in the same room
 completely overpriced",2024-06-01,2.0,7.9,5933,0,0,Never again,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,2,37,184,5.9,15.88,67.76,3.31619246026531,0.0008739331824456,1.761,1,-0.10580244831901105,-0.04363104531037182
28,28,studios2let,Excellent location,2023-10-27,9.0,7.6,11670,0,0,Would stay here again,3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02,4,2,402,1.4,40.8,-49.0,3.30850123060059,0.0126325982243253,4.669,5,0.4083834353262521,-0.12124779100504252
29,29,parkinternational,"This is a fab hotel, its my 3rd visit this year  Great location, friendly and polite staff who are very helpful  Rooms clean, breakfast plentifulNothing, everything was just great",2021-12-08,10.0,7.6,6120,0,0,Excellent hotel,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02,2,29,1090,2.4,14.36,50.5,3.28137962235869,0.0448774181715655,4.852,5,0.4699766297243658,0.18596062042497838
30,30,marlin-waterloo,Excellent service,2024-10-28,8.0,8.1,10695,0,0,Very good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,2,2,35,0.0999999999999996,20.8,-6.7,3.30894191297204,0.0119948286539466,4.754,5,0.39885584386897666,0.15886661871338612
31,31,blakemore,"Breakfast was lovely, room was good and a nice showerIt was a little bit noisy but to be expected in city location",2024-10-21,9.0,8.3,12340,0,0,nice stay,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,2,22,42,0.699999999999999,12.44,66.07,3.27972659640802,0.041468806077774,4.09,4,0.5227261106292491,-0.023153874245888363
32,32,hanoverhotel,Great value for money with comfortable rooms and friendly   accommodating staff The continental breakfast on offer was also good value at 10 The location is also very convenient being close to Victoria StationNo lift but I wouldnt expect one in a building of this age  location The staff did offer to assist with luggage,2024-04-13,8.0,7.8,5613,0,0,Very good,4,8.6,7.8,8.4,8.4,7.9,8.9,2024-12-02,2,54,233,0.2,26.79,16.67,3.3021765020192,0.0072826091832591,4.309,4,0.1730055104474453,-0.019968675505437693
33,33,blakemore,"it is in a quiet location, about 10 minutes walk from the tube lovely to walk through Hyde Park tooour bathroom mirror had a heated area which didnt mist up I told the staff it has been hung upside downunless you are 8feet tall",2022-08-16,8.0,8.3,12340,0,0,long weekend to visit our daughter,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,6,44,839,0.300000000000001,19.42,52.2,3.28070963835887,0.0261208294832139,4.107,4,-0.1582927075630917,0.14096935257130438
34,34,blakemore,"The wait for breakfast table can sometimes be very long, some food items and cups run out and the staff manning the breakfast room is on the rude side",2024-10-22,8.0,8.3,12340,0,0,Great location but some small improvements needed,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,7,29,41,0.300000000000001,11.6,75.88,2.93058620191129,0.331292942025715,3.107,4,-0.31557426685217943,0.27484753218975605
35,35,sidneyhotel,it was comfortable and clean but wish there was a iron in every room instead of the stationwe were in the basement floor the people above us were very annoying,2023-06-07,5.0,7.8,12641,0,0,Passable,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02,1,30,544,2.8,16.0,66.41,3.31447340890545,0.0015567677442716,3.518,4,-0.1639711017689277,0.21197348132482852
36,36,radissonblugrafton,"Location, cleanliness, staff, breakfast, everythingNothing",2023-09-12,10.0,7.9,9315,0,1,Great choice of hotel Highly recommend,4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02,6,5,447,2.1,26.0,-35.13,3.30242150557296,0.0198024302722624,4.3,4,-0.02102142888249478,-0.0002384468686851618
37,37,lancaster-gate,convenient to underground Hyde Park just around the corner pleasant staynothing really would of been nice bot yo veen in basement but it was clean tidy ,2024-10-15,9.0,7.7,14445,0,0,pleasant find,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,2,26,48,1.3,13.48,62.01,3.28533194087886,0.0358937015074141,4.095,4,0.17821091974157224,0.07798467725850376
38,38,express-hammersmith,"Clean, comfortable and convenient to get into London to see the sights
Even though on a high street the room was quite, but that also meant there was a good choice of places to eatBreakfast Yes there was a good selection of hot and cold choices which was absolutely fine The servery area was too small and crowded for the   amount of people trying to serve themselves Had to queue on both mornings and to be honest it was a bit stressful and at times dangerous",2022-04-16,9.0,8.0,8003,0,0,Birthday boy treat,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,3,86,961,1.0,36.73,9.57,3.30755042894318,0.0044816297970032,4.076,4,0.18736302000895683,0.0522694686357747
39,39,cityinnwestminster,locationroom a little small and combined with the price there are small boutique chain that offer better value,2023-05-29,8.0,8.3,7467,0,0,good,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02,1,18,553,0.300000000000001,9.42,61.67,3.30215252567472,0.023668381929969,3.905,4,0.3261176055812633,-0.10128263515142791
40,40,z-trafalgar,Spotless cleaning Big space for shower and modern looking even though the room is small Happy that coffee and bottled water are available in the room to kick start business meetingsRoom is small,2023-07-29,8.0,8.4,13923,0,0,Great stay for business travellers,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,5,33,492,0.4,13.2,54.9,3.28651099892014,0.0429256200884873,3.97,4,0.1983882961157656,-0.30898404695470133
41,41,crestfieldhotel,great room and locationnothing,2022-01-22,10.0,7.8,6515,0,0,pleasant,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,1,4,1045,2.2,11.6,33.58,3.31128292348945,0.0092090985965202,4.514,5,0.2568398718640992,-0.004776752743187545
42,42,milleniumgloucester,"Location was excellent for travelling to downtown london or to Heathrow 
Tube station was a 2 minute quick walk 
Staff was excellent at all times We were greeted so well at the check in desk 
Concierges were helpful 
Management was approachable and addressed any concernsThe sink in our room would not drain well 
We requested a fix and staff did so 
However, we felt it was not cleaned well afterwards 
We called and someone came to clean it 
The tub also leaked onto the floor We had to put down towels by the tub corner to keep the water soaked up 
The tub sides are very high to climb in for a shower 
However they had low bars on the tub to grab if you can bend over to hold",2024-10-30,8.0,7.4,15320,1,0,Excellent Staff and Location,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02,4,130,33,0.6,54.15,-35.1,2.22334018258195,1.08757203235461,3.975,4,0.28936113004185604,-0.26322585021756134
43,43,keystone-house,ValueEverything is at least decent,2023-01-01,8.0,7.9,5933,0,0,Very good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,2,5,701,0.0999999999999996,10.0,49.48,3.31237371495746,0.007395439203035,3.691,4,-0.03672549096479934,0.1493065579083648
45,45,express-hammersmith,"Clean comfortable beds Free hot drinks whenever you wanted, staff very helpful Quiet room",2023-09-08,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,14,451,0.0,8.46,65.73,3.31447666750473,0.0006486486702087,4.511,5,0.48580055219281426,-0.19976121038576486
46,46,ace,"location was great, amazing staff",2022-06-06,10.0,7.7,6277,0,0,Exceptional,4,8.4,7.7,8.1,8.0,7.9,8.6,2024-12-02,1,5,910,2.3,10.0,66.4,3.30483728928064,0.0187574829540919,4.636,5,0.16997652436670488,-0.1052786113024645
47,47,marlin-waterloo,"For such a big hotel, it was lovely and quiet The location is perfect for visiting London Eye etc plus theres an underground station right across the road The staff were lovely, really helpful Rooms are spotless and the beds were so comfyNothing Maybe add some hand soap to the bathroom",2023-11-04,9.0,8.1,10695,0,0,I would definitely stay here again and will recommend it to others A lovely hotel in a great location with really nice,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,22,51,394,0.9,23.54,36.63,3.2820184623594,0.0487008976910446,4.415,4,0.26678240857764995,0.05286264875197801
48,48,windsorhousehotel,All goodAll good,2023-09-04,10.0,8.0,6335,0,0,All good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02,2,3,455,2.0,1.2,119.19,3.30955933732672,0.0080862721036843,4.376,4,0.2162631030382488,0.008353205751384065
49,49,stgileshotel,Location and qualityLifts very poor,2023-12-05,10.0,7.0,14989,0,0,Excellent hotel,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,2,5,363,3.0,10.0,66.4,3.31075723689436,0.0111425712736901,1.88,1,-0.2950116346470883,0.0770468400640782
50,50,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,23,12,22,1.4,14.8,42.38,3.29579242122099,0.0307239627439515,4.735,5,0.6367878175551535,0.08359124199760917
51,51,milleniumgloucester,The noise of the air con unit was annoying  it was outside our room  bathroom could do with an update The air con noise from outside the room,2022-04-23,7.0,7.4,15320,0,0,"Great location , nice hotel",4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02,5,28,954,0.4,12.63,76.9,3.30113752252531,0.0278836316910536,2.629,1,0.3112034159558406,-0.19073247953530637
52,52,thistletower,the viewroom was quite small,2022-03-16,9.0,7.7,20956,0,0,"we had a fabulous time, thank you",4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,7,5,992,1.3,2.0,100.24,3.31033428228079,0.0115715449596894,3.086,4,0.17674398457102214,-0.17613480759953026
53,53,express-hammersmith,"Just 510 minutes walk from several tube stations, also just 1015 mintes walk from Thames path recommend a stroll towards FulhamSome noice from passing trains on Picadilly and district lines, that passes just behind the car park But with the window closed, the noice was redused a lot",2024-10-15,8.0,8.0,8005,0,0,Nice hotel for a stay not to far from central London,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,11,48,48,0.0,21.7,39.68,3.24307134175221,0.0623024281857759,4.014,4,0.08023910306290136,-0.11014739595162251
54,54,lancaster-gate,"Came for the Queens funeral, so we spent only a couple of hours in the room, bed was very comfortable, facilities had all we needed Check in and out was easy and quickNothing",2022-09-20,8.0,7.7,14445,0,0,"Great location 5 mins walk from the tube, 2 minutes walk from Hyde Park, would come again as wa sexc",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,20,33,804,0.3,18.05,54.9,3.29516786027071,0.0141901840891996,4.153,4,0.07643963538737403,-0.13802877749508213
55,55,thistletower,"The view, of course And the friendly staff",2024-09-27,8.0,7.7,20956,0,0,Very good,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,2,8,66,0.3,3.2,105.66,3.30563078573142,0.0157195482649621,4.191,4,0.5037952536644263,0.012549124792788479
56,56,milleniumgloucester,Great location and amazing staffSlightly tired decor but everything is still in working order,2024-10-29,7.0,7.4,15320,0,0,Wonderful stay and made to feel welcome by the team,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02,10,14,34,0.4,11.31,57.27,3.31552593226416,0.0015307074722394,4.223,4,0.12693433787074218,-0.05043327754801905
57,57,montcalm-chilworth-townhouse,good location for usthe menu choices,2022-07-11,8.0,7.7,9205,0,0,good night sleep,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,3,6,875,0.3,9.07,56.93,3.30678557770754,0.012376776960703,4.171,4,0.5818281722351663,-0.13295970217223363
58,58,parkinternational,Good value for money Spacious room for London standardsnothing,2023-02-07,8.0,7.6,6120,0,0,recommended,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02,1,9,664,0.4,8.04,45.42,3.29879151384049,0.0227066553560508,4.297,4,0.40350575028161456,-0.014913313910299111
59,59,radissonblugrafton,"fantastic location for exploring , right beside the turn station",2023-04-20,7.0,7.9,9315,0,0,comfortable stay,4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02,2,10,592,0.9,16.93,36.96,3.30607476655177,0.0187959400379769,4.779,5,0.46083788745819265,-0.12877283830114247
60,60,marlin-waterloo,"Location is amazing , and room size was decent And neighbourhood is safe , metro station is just across the roadTo be objective, I will compare this hotel to rest of London hotels I ever stayed,  because there is no doubt that over all standards for hotels in London is well below standards of hotels in rest of Europe  at least  so in principle,  this hotel was good  However the beds could be more comfortable,  and washrooms could have more toiletries",2024-10-23,7.0,8.1,10695,0,0,Good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,1,81,40,1.1,34.13,8.21,3.27133232607191,0.049715667786404,4.178,4,0.1851528615329403,0.027373022751514348
61,61,safestay,location is goodrude staff and uncomfortable beds,2024-08-01,3.0,7.1,7703,0,0,Poor,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02,1,7,123,4.1,14.23,55.91,3.30458159072479,0.0192094939423949,3.889,4,0.13168666002913587,-0.19580078486482738
62,62,blakemore,As always staff were very friendlythe rooms were very comfortable and breakfast very goodIt was quite noisy on the lower ground floor with lots of chatting and doors banging shut very late at night guests fault not the hotels and also the tv in my room did not work,2023-10-25,9.0,8.3,12340,0,0,Friends night away,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,3,49,404,0.699999999999999,20.42,55.58,3.2722358221558,0.0293906817015459,3.84,4,-0.025784308960010976,0.13174981619881948
63,63,keystone-house,"In very convenient location Thats allFirst, check in codes start working at exactly 1500 In no place in the world they dont let you in couple of minutes sometimes hours to check in before check in time One needs to stay outside and wait in the cold
No elevators but its ok, room was good size state of the room is horrible Long hairs on the floors, you cant walk in socks otherwise you can just throw them in a bin Bed full of long hairs, pubic hair everywhere Bed not very comfortable 
Windows foggy and full of mold Weird smell in whole place 
Good carpet cleaning and hovering is a MUST in this place",2024-01-01,5.0,7.9,5933,0,1,Ok for a night,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,4,115,336,2.9,48.43,-19.88,2.78724272732961,0.464603685015571,3.98,4,0.03507279548332812,-0.26305912582011287
64,64,lancaster-gate,"As soon as we asked to move room, the staff were incredibly quick and helpful to move into a room that was everything we wanted Great location for any events in Hyde ParkOur room on arrival was tiny and at the back of the hotel beside a building site with drilling works",2023-07-10,8.0,7.7,14445,0,0,Great hotel and location for Hyde Park  once we had our room changed,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,13,52,511,0.3,22.34,44.08,3.19190034159969,0.0984315162244064,4.443,5,0.020610767321633482,-0.15253851669393065
65,65,thistletower,nice clean and comfortable hotel in a good location no view of the bridge but overlooking marina which was okbreakfast very busy had to wait 5 mins with our plates getting cold for fresh bacon from the last tray not good went elsewhere for the 2nd morning,2023-04-29,8.0,7.7,20956,0,0,made our stay for 2 nights very pleasant,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,8,47,583,0.3,23.06,49.15,3.28865781876656,0.0151444542932483,4.123,4,0.23758306860984954,0.06959374410762845
66,66,alexandra-hotel,Good locationHard Bed Headboard worn out in both rooms I tried No blind or curtain to the window in the bathroom Anyone can see you showering from buildings at the back of the hotel,2022-04-04,5.0,7.0,6404,0,0,"Good location, but no frills hotel that is in need of some maintenance Price high quality low",3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02,17,34,973,2.0,15.95,53.89,3.25418301262266,0.0435147856806698,3.85,4,0.10197535325772294,-0.18746471369315296
68,68,crestfieldhotel,"Exceptionally clean
Easy check inUnfortunately I could not get the water in shower to anything other then luke warm",2024-03-09,8.0,7.8,6515,0,0,Very good,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,2,19,268,0.2,11.81,43.73,3.30194539714637,0.0089961242676863,4.69,5,0.2899336462052516,-0.19204415203339736
69,69,stgileshotel,staff were friendly and beds were very comfortablerooms are very small and bathroom wasnt the cleanest,2022-02-10,8.0,7.0,14989,0,0,Very good,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,2,16,1026,1.0,8.9,72.16,3.30096496892039,0.0256226140165697,3.891,4,0.16295720174837278,0.17108380253902605
70,70,zedwell-trocaderor,Great location Easy checkin and out Comfortable and quietA few maintenance niggles I couldnt change the temperature of the aircon in the room the buttons on the control panel didnt work One of the light switches didnt seem to do anything And the button on the front of the tap the onoff switch for the water was loose and fell off,2023-05-30,6.0,7.4,39497,0,0,Good proper maintenance could have made it really good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,9,61,552,1.4,27.02,26.48,3.29906358943949,0.0128886189089222,3.957,4,0.18230305462145585,-0.1822385096304571
71,71,express-hammersmith,"Just 510 minutes walk from several tube stations, also just 1015 mintes walk from Thames path recommend a stroll towards FulhamSome noice from passing trains on Picadilly and district lines, that passes just behind the car park But with the window closed, the noice was redused a lot",2024-10-15,8.0,8.0,8005,0,0,Nice hotel for a stay not to far from central London,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,11,48,48,0.0,21.7,39.68,3.24307134175221,0.0623024281857759,4.014,4,0.08023910306290136,-0.11014739595162251
