Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,Reviewer,Review Title,Link,Rating_Distribution,Rating_of_Performance,Rating_of_Story
"Paul Beattys writing is acidtongued, unsparing, uncomfortable and hilarious Over and over as I read the book I was shocked and tickled I really enjoyed it",08-27-19,4,4.1,3954,0,Dave Rosenthal,Unflinching,https://www.audible.com/pd/The-Sellout-Audiobook/B00YQEF862,"2055,980,524,223,172","2616,626,187,69,69","1787,864,514,217,174"
I couldnt finish the book i could barely get through the first chapter This is not my cup of tea,08-14-22,2,4.4,23343,0,Mary A. Ward,Too bloody Gruesome,https://www.audible.com/pd/The-Gray-Man-Audiobook/B003UNYZ7I,"13414,6464,2261,714,490","13360,4916,1423,343,245","11497,5403,2124,685,517"
"This was so enjoyable If youre a fan of the moviebook, I highly recommend you use a credit on thisIf youve only seen the movie and have been wanting to give the book a chancethis is what youve been waiting for A all around",08-20-21,5,4.9,24676,0,Andrew Garcia,Everything you want it to be,https://www.audible.com/pd/The-Hobbit-Audiobook/1705009050,"23260,1140,193,49,34","21343,559,77,31,28","20575,1103,208,45,25"
"This book grabs a hold of you from the very first chapter and it never lets you go until the end, when you wont want to let it go Just like you fall in love with Dexter, you cant help but fall in love with Joe and the way he thinks is so crazy that you just want to hear more He is so well written and so easy to connect to that no matter what he does its hard to find fault with him",02-28-16,5,4.4,20822,0,Laura,Dont let it end,https://www.audible.com/pd/You-Audiobook/B00MTTGXSI,"12692,5065,1758,636,671","15508,2380,700,204,273","10962,4692,1947,680,748"
The book is awesome on its own But when it gets read to you the make it fun by making voices I suggest this and it is not a waisted of money,08-08-17,5,4.9,196712,0,Nadia Lamothe,It is awesome,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G,"183575,10378,1660,441,658","154488,13240,3443,769,731","162212,8144,1206,241,355"
it was hard to put this book down How It Was Written and told by the person that lived and died have me realized how important each day that we have is,07-25-17,5,4.7,29279,0,Marie,amazing jounary of our life and death,https://www.audible.com/pd/When-Breath-Becomes-Air-Audiobook/B0191YTGI2,"22960,4664,1286,243,126","20158,4210,1034,212,90","20700,3534,1070,218,116"
"This is a very interesting and engrossing story of the most important cells in the history of medical science and the lives, tragedies and injustices interwoven into their history As a doctor and a Gynecologist at that who started as a Microbiologist and worked with cell culture albeit, not HELA Im startled that the history of these cells was so absent in my training There are disturbing parts in the story of Henrietta and her family, to be sure, but this welltold, intriguing book does not dwell unnecessarily on the dark past, but uses it as a lens through which to view the ethics and importance of medical research in the past, present and futureWell worth your time to read or listen to",07-07-17,5,4.6,16707,0,Gooeld,A Mustread for scientists and doctors,https://www.audible.com/pd/The-Immortal-Life-of-Henrietta-Lacks-Audiobook/B0035FVJQQ,"11855,3490,1003,227,132","10134,2688,679,117,81","10338,2418,723,157,104"
This is what all audible books should be The voice acting and production are amazing and really enhance an already great story,12-03-20,5,4.6,52781,0,Vincent Adriance,Excellent story with a great voice cast,https://www.audible.com/pd/The-Sandman-Audiobook/B086WP794Z,"41741,6347,2482,1077,1134","41992,2633,727,328,483","35483,5976,2420,1029,1076"
"Pauls death is such a tremendous loss to his family  I view it also as a tremendous loss to all the patients he wont get to treat, medically and as real human beings   Compassionate care is so important, especially when there are no easy answers  I wish much peace, love and grace to his family",06-07-16,5,4.7,29279,0,Roxanne,Paul was the kind of doctor everyone deserves to have as their own,https://www.audible.com/pd/When-Breath-Becomes-Air-Audiobook/B0191YTGI2,"22960,4664,1286,243,126","20158,4210,1034,212,90","20700,3534,1070,218,116"
I first read this book over 20 years ago and I enjoyed it even more now than I did then,01-06-22,5,4.7,11650,0,SGD,Still Amazing,https://www.audible.com/pd/Their-Eyes-Were-Watching-God-Audiobook/B002UZN75I,"8885,1956,563,123,123","8799,859,235,61,64","7492,1741,552,119,89"
"I loved this book Andy Weir did a fantastic job with this story It was interesting, funny, clever, and engaging Ray Porter did a superb job",12-11-22,5,4.9,182379,0,Joanna,Great Book,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K,"162833,15895,2619,672,360","156733,7989,1298,287,227","145112,16872,2818,763,416"
A wonderful performance of a classic sci to comedy An excellent light hearted story great for a road trip,01-12-23,5,4.6,55145,0,Caleb,Great book,https://www.audible.com/pd/The-Hitchhikers-Guide-to-the-Galaxy-Audiobook/B002VA9SWS,"40868,9576,3215,929,557","40758,5054,1135,232,192","34621,7996,3097,994,594"
"I came into this biography expecting a lot of laughs and came out crying from the twisted but happy ending This is a story of parental love vs abuse, South African apartheid vs American racism, hustling vs crime, and belonging vs outcast Considering the success Trevor has today, very few have overcome what he has to earn his stardom Incredible story",06-14-20,4,4.9,215239,0,Bradford W Carlin,"Not what I thought it was going to be, but an incredible story of perseverance and love",https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,"195059,17004,2395,407,374","185807,7574,951,178,210","174092,16520,2484,374,281"
This was the first time I couldnt wait to finish an audio book Such a great reading and story,03-15-21,5,4.8,3668,0,Regina Ramos,Great Audio,https://www.audible.com/pd/The-Poet-X-Audiobook/B077MNNH97,"3123,429,81,21,14","3022,164,21,8,9","2669,421,87,17,12"
I enjoyed the different perspectives told by each character as the story unfolded Realistic  very interesting Narration great,11-04-24,4,4.6,22819,0,Bill,Liked it,https://www.audible.com/pd/The-Lincoln-Highway-Audiobook/0593452100,"16748,4059,1363,406,243","17075,2306,511,139,98","14417,3650,1231,436,272"
"The word unbelievable is used a lot to describe something of excellence or extraordinary caliber, but rarely is it used in proper context The words of this book brought to mind truly unbelievable thoughts and visuals that are of far more value than the price of admission I have no word in any language I have sampled to describe how much everyone should get it 40 percent no longer",12-22-21,5,4.9,202151,0,Thomas Pybus,No words,https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH,"185310,11912,2805,1015,1109","162302,11660,2759,845,968","165404,8760,2170,769,833"
"Such a short story but it packed a punch  I enjoyed it, looking forward to more great listens",06-07-19,5,4.5,32619,0,LK,Great,https://www.audible.com/pd/Evil-Eye-Audiobook/B07QP1X8B7,"21973,7120,2395,652,479","24192,3973,1106,296,275","19324,6598,2562,726,499"
"one of the narrators was annoying, to me but the other two were great The story is great, the writing is great I very much enjoyed itlots of tough and touching topics",08-02-22,5,4.6,89067,0,veggie-girl,2 of the narrators are awesome,https://www.audible.com/pd/The-Seven-Husbands-of-Evelyn-Hugo-Audiobook/B072359S7K,"66904,15051,4589,1363,1160","63060,11276,2945,819,594","58437,12969,4260,1436,1317"
Loved how Celeste breaks wide open the joys of motherhood as well as its heartbreaks,06-29-19,5,4.4,60942,0,Karen,Loved this book,https://www.audible.com/pd/Little-Fires-Everywhere-Audiobook/B074F38TWD,"37041,16454,5496,1277,674","38825,11082,2658,560,321","31431,14250,5355,1528,767"
"No one tells a story quite like David Sedaris If I could only bring one form of entertainment with me to a deserted island, it would be one of his books",05-09-19,5,4.6,22164,0,jamie,Fantastic storytelling by Sedaris,https://www.audible.com/pd/Calypso-Audiobook/B07BGGTGBQ,"16484,3753,1212,381,334","16685,1875,600,217,192","13990,3545,1195,375,336"
"took me a while to finish this one but I surely did love the epilogue I found the beginning very interesting and the ending as well, so the only thing that slowed me down or interest is towards 34 of the story through That is when I had trouble not repeating a few chapters as I found it lacking in excitement To be fair, I mostly listen to it when Im in bed going to bed, but usually I can do with 34 chapters before I fall asleep But those times I fell asleep during one chapter and then the next night repeat that chapter  Other than that, the story itself is quite interesting and the epilogue The voice actor does a great job with almost all male voices but when it comes to the little girls or any other female, wellits very challenging to believe him or stay in the illusion of the story",06-13-16,4,4.4,23343,0,voidsource,"quite well, better than I thought",https://www.audible.com/pd/The-Gray-Man-Audiobook/B003UNYZ7I,"13414,6464,2261,714,490","13360,4916,1423,343,245","11497,5403,2124,685,517"
Revealing about his creative personality and truly make us value the faith of a mother in his son and God,03-12-17,5,4.9,215239,0,Angie Romo,Very interesting,https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,"195059,17004,2395,407,374","185807,7574,951,178,210","174092,16520,2484,374,281"
"Laurence Fishburne did an excellent job narrating, bringing energy to what is already a hell of a story",05-11-22,5,4.9,12456,0,Sheldon,Pure Excelence,https://www.audible.com/pd/The-Autobiography-of-Malcolm-X-Audiobook/B084YVRDJX,"11448,806,148,28,26","10695,327,41,7,10","10131,713,140,20,16"
"As a lifelong Harry Potter fan, Im just glad to see that the masterful Mr Dales recording is online finally",12-17-15,4,4.9,196712,0,Amazon Customer,Glad to see them,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G,"183575,10378,1660,441,658","154488,13240,3443,769,731","162212,8144,1206,241,355"
"Colin Firth does such a compelling job of narrating this story that you dont even mind that the classic romance aspect, which is what sucks you in initially, is blurred by some very outofdate moral dilemmatype plot twists  Worth your time",07-08-12,4,4.1,11453,1,Fire In The Henhouse,An oldfashioned sort of tale,https://www.audible.com/pd/The-End-of-the-Affair-Audiobook/B007ZEAI3I,"5509,3231,1753,611,349","8375,1324,452,144,113","4332,2980,1879,695,474"
I enjoyed the book very much so now I will purchase the hard copy to add to my Library of hard copies,06-26-22,5,4.8,41510,0,Lady Crafter,never read pride and prejudice befor,https://www.audible.com/pd/Pride-and-Prejudice-Audiobook/B016LN23CC,"36386,3643,946,279,256","32778,3374,791,206,181","32743,3059,898,260,201"
"I was recommended this book on Tik Tok several times, and I finally decided to give it a chance This was the best decision Ive ever made There is trans and gay representation, which is hard to find that also has a compelling storyline I love the high fantasy and how its based in Latino traditions and celebrations of Dia de Muertos I didnt know much about the holiday, so it was equally entertaining and an enjoyable learning experience The characters were very well developed, and had a lot of layers that as a listener, I had to peel back throughout the book It was nice getting to know these people as if they were new friends of mine, and I honestly feel lost now that I have been snatched out of the world The little interview with the author at the end was a nice touch, and I would like to see that in other audio books as well I think it ended on a nice note, and a sequel is probably not needed, but I will definitely be back for more of whatever Aiden Thomas writes next ",05-22-22,5,4.6,1033,0,Elani Spencer,WOW,https://www.audible.com/pd/Cemetery-Boys-Audiobook/1250619122,"778,167,69,13,6","748,110,30,12,4","678,148,47,20,7"
"I bought this book by accident when I fat fingered my phone, but I figured I would give it a try anyways Im glad I did Not my usual choice but very good",01-12-23,5,4.4,23343,0,Hannah Blackstone,Glad I got the book,https://www.audible.com/pd/The-Gray-Man-Audiobook/B003UNYZ7I,"13414,6464,2261,714,490","13360,4916,1423,343,245","11497,5403,2124,685,517"
"listened to this on a recommendation by a colleague I had never heard of the book or author and was surprised that it was a woman hit pause switched to another book but went back the next day then power listened for entire recording   firstly Ms Robbins is an excellent narrator, you feel like you are hanging out over beer or tea  the content is phenomenal and scary how dead on relevant to my life  now to apply the rule5,4,3,2,1 blast off",12-26-18,5,4.7,51395,0,gail barrington,game changer,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,"41486,5668,1993,1020,1228","36990,4507,1581,668,975","35034,5246,1985,908,1211"
"I love that she reads her own books  Great listen, learned a lot  This book is different from her others in that it is less narrative and more informational in how the data is presented to the readerlistener Not full on text book by any means but noticeable different style than her previous books",03-12-22,5,4.8,17153,0,Mr. D. K.,"Love Berne Brown, Great Listen",https://www.audible.com/pd/Atlas-of-the-Heart-Audiobook/1984844261,"15153,1343,398,144,115","13659,739,209,74,91","12722,1236,350,152,119"
could not read a more twisted book A little overwhelming in some areas but very good,12-28-16,4,4.4,20822,0,Kristen Burch,twisted twisted twisted,https://www.audible.com/pd/You-Audiobook/B00MTTGXSI,"12692,5065,1758,636,671","15508,2380,700,204,273","10962,4692,1947,680,748"
This is a great book  It keeps your attention from start to finish I will start the next book tonight,05-11-18,5,4.6,79190,0,Nicole Oliver,Excellent book,https://www.audible.com/pd/Outlander-Audiobook/B002V1CJ8W,"60696,10669,4147,1993,1685","56108,7529,2256,679,679","51992,8515,3387,1641,1443"
Ive seen two shows of the series the book makes me want to watch all,08-26-18,5,4.6,79190,0,B Potz,Cant wait to read the next book,https://www.audible.com/pd/Outlander-Audiobook/B002V1CJ8W,"60696,10669,4147,1993,1685","56108,7529,2256,679,679","51992,8515,3387,1641,1443"
"Absolutely loved the story, narration, and the music Ill be listening to this again soon, highly recommend",09-24-19,5,4.7,15885,0,Joshua DeBenedetto,A Truly Magical Experience,https://www.audible.com/pd/The-Mystwick-School-of-Musicraft-Audiobook/B07MT4MTGP,"12241,2785,628,123,108","12353,1605,321,55,61","10595,2743,765,147,92"
this book is really freaking good well written performed and with an engaging plot hi,01-31-17,5,4.7,104740,1,Forrest,Holy damn,https://www.audible.com/pd/We-Are-Legion-We-Are-Bob-Audiobook/B01L082HJ2,"79771,18828,4359,1086,696","82079,11698,1773,319,205","70828,18272,4757,1215,765"
What an interesting book  Mixes many intimate historic accounts of Willy Lincolns death and Abraham Lincolns grief within a tale of life in the Bardo before and after Willys arrival Descriptions of Willy and his father by their peers allow us to see the full humanity of both,06-23-19,5,4.0,10345,0,V. Sue Vess,Haunting,https://www.audible.com/pd/Lincoln-in-the-Bardo-Audiobook/B01MYV9WSI,"5321,2044,1277,795,908","6836,1198,626,306,468","4625,1895,1231,727,912"
"I am new to true crime and have only listened to 1 hour episodes, but this book was so in depth and written like a fiction novel which allowed the reader to view the victims and killers in a more personal setting, that I would love to listen to more true crime in this way I really enjoyed the narration it was truly an amazing experience",01-11-23,5,4.4,15147,0,matt,Captivating,https://www.audible.com/pd/In-Cold-Blood-Audiobook/B002UZJTXM,"9366,3832,1389,348,212","8883,2511,746,186,116","7954,2899,1106,296,171"
This book is nothing short of AMAZING I will forever remember this story Its one that becomes part of your soul,10-31-16,5,4.8,101379,0,Alaina,Amazing,https://www.audible.com/pd/The-Nightingale-Audiobook/B00NYBQKFQ,"88056,10560,1913,488,362","79759,9539,1759,409,288","79872,9093,1753,489,325"
"I listened to this is 2 days I cried and cried and cried Its heavy, deep, profound, heartfelt and hopeful I love Viola, what a phenomenal story, a phenomenal woman and a phenomenal life",04-29-22,5,4.9,40545,0,Adreiona J,Grab your tissue,https://www.audible.com/pd/Finding-Me-Audiobook/B09F4X96MC,"38678,1544,224,54,45","36158,822,83,28,34","34980,1634,227,59,38"
"This is definitely a book that a person should listen to on Audible Trevor Noah reading his life story gives it so much more life I will definitely listen to this a second timeThe reason for the Overall four stars review, it was difficult for me to track the timeline, as he tended to bounce around a bit Also there were things left out that leave me wondering, what happened I am hoping that this was intentional Im hoping that he will do another book I am also hoping that this will be turned into a movie This is a story that needs to be shared with everyone",03-30-17,4,4.9,215239,1,Primemama,"Laughed, cried, laughed again and cried",https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,"195059,17004,2395,407,374","185807,7574,951,178,210","174092,16520,2484,374,281"
Great book read by that familiar voiceOnly bad thing about this book is that it reminds me that hes left this world,08-29-18,5,4.8,36876,0,OIZUMI Munenori,Great book,https://www.audible.com/pd/Kitchen-Confidential-Audiobook/B002VA8GSA,"30168,5163,1181,203,161","26805,3001,736,128,75","25132,4213,975,162,95"
What a great book History and excitement bundled up together and wrapped in a blanket of triumph Highly recommend this readlisten,01-09-18,5,4.3,9599,0,heather m,Bested the movie,https://www.audible.com/pd/Hidden-Figures-Audiobook/B01I28NTJU,"5444,2331,1186,381,257","5353,1941,811,254,189","5228,1776,989,343,236"
"This is what a fictional rock band biography should be It left me feeling like I knew Opal and Nev, like I understood their place in pop culture I highly recommend",05-25-22,5,4.3,1031,0,Lucy's Mom,Vivid and Profound,https://www.audible.com/pd/The-Final-Revival-of-Opal-Nev-Audiobook/1797118501,"589,272,121,33,16","739,121,38,10,5","495,243,125,21,21"
"Love this woman God bless her  If the title or concept sounds corny, thats ok, listen anyway  Dont block your own blessing",04-09-24,5,4.7,51395,0,SgtMamma,If you are struggling in any way You need this in your life ,https://www.audible.com/pd/The-5-Second-Rule-Audiobook/B06VX22V89,"41486,5668,1993,1020,1228","36990,4507,1581,668,975","35034,5246,1985,908,1211"
"A classic book, this Audible makes it awesome to listen  Everyone should read this book in their life time",09-22-21,5,4.8,47362,0,karla solis,Great book,https://www.audible.com/pd/To-Kill-a-Mockingbird-Audiobook/B00K1HQVOQ,"40479,5073,1181,293,336","36838,3860,925,211,220","36017,4183,1156,272,278"
"Oh my gosh, this was super cute Such a quick listen I finished it in one day I was smiling at the end right with the characters Definitely recommend",11-03-20,5,4.7,25775,1,Mj,Cute and Quick,https://www.audible.com/pd/Call-Me-Maybe-Audiobook/B08CMB2WMV,"19805,4425,1128,258,159","20590,2499,603,123,84","17776,4333,1238,296,168"
Bahni Turpin delivers an amazing performance in this heartbreaking story  depicting truetolife circumstances and events,09-21-17,5,4.8,45875,0,Guardian829,AMAZING narration,https://www.audible.com/pd/The-Hate-U-Give-Audiobook/B01NAGD7TV,"38215,5922,1240,276,222","36667,3855,831,145,134","34350,5452,1234,255,189"
"Excellent young adult introduction to real world  race relations in the USA  The USA is one of best places in the worldbut not fair  neither is life As a black parent, I drilled this into my kids",06-13-17,5,4.8,45875,2,A. G. Jones,Great Young Adult Book  AGJ,https://www.audible.com/pd/The-Hate-U-Give-Audiobook/B01NAGD7TV,"38215,5922,1240,276,222","36667,3855,831,145,134","34350,5452,1234,255,189"
Favorite audiobook so far Will listen to this and the other audiobooks in this trilogy again in the future Recomend it for anyone,08-07-19,5,4.9,13701,0,Deborah L Brown,Great,https://www.audible.com/pd/The-Hunger-Games-Special-Edition-Audiobook/B07HHH7L77,"12487,983,147,47,37","10551,907,202,51,71","10838,776,101,16,22"
"I believe the paperback of this book will be out in April 2019I listened to this little gem on audible and I highly recommend you do the same This book is read by the author and I wish she would sign up to read a lot of the audible books because she is so entertaining I LOVED this book Its not a long book and would be great for a daily commute She will have you laughing out loud The book is about her life and growing up living in a library I cant imagine a better place to live If you are looking for something light, entertaining and fun, then this is it",10-11-18,5,4.5,10325,0,Cherry Keal,Highly Entertaining,https://www.audible.com/pd/Feeding-the-Dragon-Audiobook/B07DQR8X3R,"6891,2034,943,262,195","7528,1197,460,142,122","6176,1841,925,315,161"
"Anthony is the GOAT Favorite author and book ever Best audio book ever, read by the man himself",04-21-23,5,4.8,36876,0,Anonymous User,My favorite ever,https://www.audible.com/pd/Kitchen-Confidential-Audiobook/B002VA8GSA,"30168,5163,1181,203,161","26805,3001,736,128,75","25132,4213,975,162,95"
"Goggins life story is a wild rollercoaster that cant be simply summarized Hardship, perspective and taking every opportunity to better himself has gained him a special seat among those rare overachievers who are ready to battle everyday He is not a trainer or advocate to follow his path directlyas you will find much pain and likely lifelong injurybut one can find something in his strength of mind and consistency to take with them into whatever battle they are facing",01-14-21,5,4.9,202151,0,Anonymous User,Motivating and intense,https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH,"185310,11912,2805,1015,1109","162302,11660,2759,845,968","165404,8760,2170,769,833"
Trevor took us on an amazing journey and look into his life as a child in South Africa Hes a blessed individual and we are blessed by his stories,04-22-19,5,4.9,215239,1,Loppy,Excellent Book,https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK,"195059,17004,2395,407,374","185807,7574,951,178,210","174092,16520,2484,374,281"
The narrator brings Clarkes captivating language to life in this beautifully told fable  Loved it,12-11-22,5,4.6,8793,0,David Kirby,A beautifully told magical story,https://www.audible.com/pd/Piranesi-Audiobook/1526622416,"6171,1735,627,158,102","6750,722,136,17,20","5284,1528,534,166,109"
I really enjoyed the story and the performers which Read it the characters seem to come to life with each new reader who performed the characters listening to the performers read the book was much better than the movie,07-16-21,5,4.6,35784,0,tina weise,review of Dracula,https://www.audible.com/pd/Dracula-Audible-Edition-Audiobook/B0078PA1OA,"25547,7314,2206,480,237","26720,4257,1025,240,142","22258,6695,2559,525,257"
"Kept me interested the whole book So, so goodShes fabulous at giving the characters different voices as well Highly recommend",06-07-24,5,4.8,101379,0,Evernight,So good,https://www.audible.com/pd/The-Nightingale-Audiobook/B00NYBQKFQ,"88056,10560,1913,488,362","79759,9539,1759,409,288","79872,9093,1753,489,325"
