Rating,Review_Text,sentiment_score_continuous,sentiment_score_discrete,deviation,abs_deviation
1,"Great locationLoud noises from water pipes, all through the night Very very small room I could have coped with the size of the room if it wasnt for the sound of the water pipes all through the night Sounded like a foghorn Unable to sleep Not good when the hotel was very expensive",2.872,3,-1.8719999999999999,1.8719999999999999
2,Facilities were fineThe staff lost my luggage,3.87,4,-1.87,1.87
2,It was close to walking distance to central placesOverpriced for what you get Rooms where average not that clean,3.811,4,-1.811,1.811
2,"NAService, they brushed off every issue we had and decided it not a big deal that we asked for a twin room as part of our original booking but for 3 nights we slept in one bed",3.802,4,-1.802,1.802
1,"Location is goodWalls are paper thin, you can hear everything from neighbors Breakfast not included in a 200 night Rooms are small and very old  It does not feel like in the pictures at all A total downer",2.785,3,-1.7850000000000001,1.7850000000000001
5,Good location within walking distance of Paddington station Room was spotlessly clean Breakfast had a good selection of foodWe had a basement room that overlooked a dirty little yard Water poured into the yard from a blocked pipe and woke me up early in the morning,3.316,4,1.6840000000000002,1.6840000000000002
3,V clean room and comfortable nights sleep Excellent location for Paddington,4.663,5,-1.6630000000000003,1.6630000000000003
2,location is goodrude staff and uncomfortable beds,3.634,4,-1.634,1.634
2,"The location of the hotel is very good, and staff were friendly and efficient upon arrivalThe room was swelteringly hot In March with no ability to change it By the standard signage next to the disconnected AC this seemed to be standard for the hotel The cooked breakfast was dry and lukewarm, and as a solo traveller I was asked to sit at a specific high table so the comfortable normal tables could be used by couplesgroups",3.624,4,-1.624,1.624
1,Gave me the wrong key  door number for my room walked into someone elses room Considered a mistake and not staffs fault however not what you expect for a  5 star hotel ,2.62,3,-1.62,1.62
2,"the location  staffsmall rooms, not too clean and too expensive",3.607,4,-1.6070000000000002,1.6070000000000002
3,Great location,4.607,5,-1.6070000000000002,1.6070000000000002
3,"i dont like my stay herefirst of all, When i check in, they said i have a free upgrade but the room does not have elevator the elevator is out of order i am travelling with heavy luggage and an elderly When i climbed the ladder and reached the room, i found other guests luggage is already inside the room Clearly they have made a mistake I climbed again and told them what happened I dont want my mother climb again and i told her to wait at the door first They said pls wait a moment and they really made a mistake 

Mistakes happens and i dont think is a big problem I said i dont need a upgrade please just give me a room with elevator They just asked me to wait without a single apology The attitude is so bad  feel like i am the one causing trouble

15 mins passed and my mother still waited at the room door Both of us dont have the progress i asked whats happening now and they just said wait i said my mother is waiting at door step There is no way she climb ups and downs again They finally get me a room in another building I said if anyone free and help me to get the luggage into another building all buildings has door steps in front door They said sorry i dont have people who can help   

ok i carry them by myself to another buildings First, climbing down from one building and up for another building

When i checked out again heavy rain outside, no staff show any willingness to help when they see guests struggling with luggages in the door steps Thank you for the gentleman who is another room guest helping me to get through the steps

i think all the equipments in london hotels is similar but the attitude really makes a hugh difference i would not stay here again and i recommend who are reading this review think twice on booking it",1.413,1,1.587,1.587
5,Did not have breakfastElevators very small Long wait or take the stairs Difficult for elderly person,3.441,4,1.5590000000000002,1.5590000000000002
3,Closeness to St Pancras Station and cleanliness  Both were superbNoise We could hear the tube There was construction work just outside the hotel that was quite intrusive Quiet hours were from ca 1  5 am,4.548,5,-1.548,1.548
1,LocationStaff Poor WiFi connection Bathroom door broke Couldnt lock bedroom door when in the room Minimum TV channels Poor breakfast Shower try filled up when in the shower and loads of black bits came back up the plug hole,2.533,3,-1.533,1.533
3,location and cleanlinesssize and layout of the room,4.514,5,-1.5140000000000002,1.5140000000000002
4,"the lift was out of order and i had 2 big bags and other 2 small , no one asked to help, also the receptionist who checked me in wasnt helpful as i asked him to do the check in a little bit earlier because i had an appointment but he refused even before the check in time by 20 mins and the check out time is 10am so of course there is a room that was cleaned but he insisted to check me in at 3 pm exactly",2.487,3,1.513,1.513
1,"early checkin, breakfast, quietThere was no running water in the room when I arrived Granted, there was a note mentioning a necessary outage until 3pm but by 5pm there was still no water I called reception and was told a pipe had burst and that there should be water before 7pm Unfortunately I had an important appointment and had to leave without showering I was not offered any discount or compensation for the discomfort",2.508,3,-1.508,1.508
4,very expensive,2.531,3,1.4689999999999999,1.4689999999999999
3,Clean Central to where we were visitingSmalll beds,4.464,5,-1.4640000000000004,1.4640000000000004
5,"Great location, friendly staff Great for one nightFelt very dated Smelt like bleach which was reassuring but it didnt feel that clean Marks on bedding, pillow was awful as was bedding Shower was cold and didnt drain properly Toilet didnt flush properly either",3.539,4,1.4609999999999999,1.4609999999999999
5,Breakfast room is always very crowded,3.559,4,1.4409999999999998,1.4409999999999998
2,"smooth check in service and bar serviceRoom was too small and cramped Unable to upgrade at check in yet my friend who arrived later was able to upgrade his room Not sure why that was available to him and not me
Room situated over busy street and noisy",3.435,4,-1.435,1.435
2,We stay at the apartmentits near the hotelour room is at 7 floor without elevatorAlso the room is dirtyNot a good choice,3.417,4,-1.4169999999999998,1.4169999999999998
2,"Reception staff were very good and helpfulBathroom was very small, no fan or open window Range hood over stove did not work and large window in room did not lock, could be opened from the outside",3.416,4,-1.416,1.416
1,"LocationRoom was small, bedsheets dirty, aircon couldnt be adjusted, aircon too noisy, blinds didnt cover the window, window not good enough to keep substantial noise out",2.412,3,-1.412,1.412
3,comfortablesmall room,4.384,4,-1.3840000000000003,1.3840000000000003
3,"Good location
Polite, efficient and friendly staff
Comfy beds and pillowsShower wasnt very powerful",4.368,4,-1.3680000000000003,1.3680000000000003
5,As always staff were very friendlythe rooms were very comfortable and breakfast very goodIt was quite noisy on the lower ground floor with lots of chatting and doors banging shut very late at night guests fault not the hotels and also the tv in my room did not work,3.638,4,1.362,1.362
2,the hotel was lovely and the staff where really friendly and did anything they could to helpthere was long wait at the bar cause there was only one member of staff on the bar and lots of guests to serve would be better if there was two members of staff running the bar also when it came to the day where we checked out we couldnt have a shower or a bath the in the morning before we left as the hotel boiler was broke this  was a huge let down for the hotel as guests should expect to be able to have a wash the morning of check out i was really dissapointed by this,3.357,4,-1.3570000000000002,1.3570000000000002
2,"The only thing good about this hotel is the location 

You are paying way to much for what it really isThe staff were space cadets You ask them something and they wouldnt understand what you were asking 
There was a big mistake with my room service order and the receptionist said to get me a refund but the bar staff only gave me a complimentary drink voucher and 20 off my next food and drink 

If you like to hear what the people next door to you are doing then youll love this hotel Also the doors slam shut so all night you can hear when everyone is getting back to the hotel

The bathroom is so small I would hate to be tall or fat 

My room didnt have a working aircon either and the excuse was that the weather had recently changed from being really warm to really cold Makes no sense to me because aircon would have been on either way",3.353,4,-1.3530000000000002,1.3530000000000002
1,"location is very good breakfast was good alsoTWO Backpacks were stolen from inside the hotel while checking out  
We were a family of four with 7 bags and three backpacks They placed all my luggage just beside the doors and left them UNATTENDED 
The thief just entered the hotel normally picked two backpacks and left just like that 
Reaction from the hotel was very frustrating They said they will check the cameras I stayed for more than hour and they claimed that they cant locate the camera that shows the incident They refused to call the police All what they did that they took my information and promised to investigate 

I am waiting for them to get back to me  I will keep you updated",2.346,3,-1.346,1.346
5,The bathrooms are small if there are more than 2 people staying in the same room,3.657,4,1.343,1.343
4,"My room was in the basement Not great, and the staff were very noisy late and early, not being considerate that there were guests around trying to sleep",2.671,3,1.3290000000000002,1.3290000000000002
3,Excellent location  Clean and comfortable roomWalls are very thin  You can hear the conversations from the rooms around you and I could hear snoring throughout the night from the room next to mine,4.328,4,-1.3280000000000003,1.3280000000000003
2,"Location of hotel great, breakfast room very small,your all on top of one another and not great choices The bar looks nothing like the booking pictures ver small and not open till early eveningBreakfast,bar,room",3.322,4,-1.322,1.322
5,"Very nice staff,hotel great overall,clean and well set up Thank you for the room decorationAbsolutly suggested for peoplesWe went to the bar twice ordered exatly the same thing 1 coctail i think name was twinkle and the double cognac1st time payed 27 and 2nd time the same thing was 16 this time we could see reciept and realized at the 1st time we been overcharged",3.688,4,1.3119999999999998,1.3119999999999998
5,the viewroom was quite small,3.703,4,1.2970000000000002,1.2970000000000002
4,"Location, the room and the breakfastThe fire alarm drill at 820 oclock in the morning was terrible,  by 1100 oclock drilling from the next room
The airconditioning was working only on max hot, we could not switch it off or reduce the temperature and the windows do not open Some fungus behind the curtains
Very expensive parking even for the guests of the hotel",2.71,3,1.29,1.29
3,"Great location and very helpful staffMy single room was very small, the decor definitely needed an update Only a blind so very light when trying to sleep Shower curtain smelt very musty",4.288,4,-1.2880000000000003,1.2880000000000003
3,"LocationFood, Bed, Staff",4.287,4,-1.287,1.287
5,"Room was very clean, shower was great, coffee in the room  Lots of towels  Very little outside noiseThe pillows were very disappointing, they were pads",3.716,4,1.2839999999999998,1.2839999999999998
5,"Querky hotel, lovely atmosphereHash browns in the morning were very dry and soft",3.725,4,1.275,1.275
3,staff,4.274,4,-1.274,1.274
3,This hotel needs renovation,4.273,4,-1.2729999999999997,1.2729999999999997
1,"was friendly stagfshower was rubbish couldnt get a decent shower 
and the bed was so uncomfortable it was horrible",2.261,2,-1.2610000000000001,1.2610000000000001
3,LocationStaff in restaurant,4.26,4,-1.2599999999999998,1.2599999999999998
4,"Just the location and attitude of the staffThere was a paper tissue left from the previous guest on the nightstand, it stood on the table all over my visit I regularly said to the receptionist about this problem and nothing changed Additionally I stayed in a family room and 2nd bed was full of disappointment I havent experienced such an uncomfortable thing before There was also always a problem on the coffee and pancake machine as well and couldnt use it in first try just for once",2.75,4,1.25,1.25
1,the air conditioning wasnt working so the room hotel was boiling the bed was like lying on a brick and the facilitys were awful,2.243,2,-1.2429999999999999,1.2429999999999999
5,"Location and size superb for London The family rooms accommodate two adults and two children wellOur room had a bathroom extractor fan that didnt work, a lock mechanism that was faulty on the door and a curtain rail that didnt extend the full length of the window",3.766,4,1.234,1.234
1,"The location was great for local pubs, shops, and the tube stopThe room was small, constantly damp with mold growing on the ceiling in the shower, the staff was unfriendly, bordering on cold and indifferent, and there is a young boys school next door that is incredibly loud with the sound of screaming children from 7 am to 4 pm This wouldnt be an issue IF the hotel didnt have VERY thin walls, which also lead to noise complaints Ie people talking at a normal volume",2.234,2,-1.234,1.234
3,"location and staffbreakfast , room size and light, no view",4.229,4,-1.229,1.229
1," The room was very small, no space for luggage
 bed was awfully worn out
 rooms where very smelly, like worn shirts or something
 neighbours could be overheard, like they would be in the same room
 completely overpriced",2.226,2,-1.226,1.226
5,"arriving at Victoria, dropping luggage off at hotel, then hitting the town could not be easier",3.782,4,1.218,1.218
3,modern and great locationExtremely basic no furniture in the room whatsoever just mattresses and a shower room,4.217,4,-1.2169999999999996,1.2169999999999996
3,"Shared rooms for a group, comfy beds, big shower, fantastic location Lighting in podsthe price, no tea kettle, bathroom door not solid",4.21,4,-1.21,1.21
4,The breakfast and ower check inOur safe did not work and the sink drain was broken,2.791,3,1.209,1.209
3,the cleanish and the locationattempted to charge me for a breakfast we didnt have,4.209,4,-1.2089999999999996,1.2089999999999996
3,"Clean and welcoming Good breakfast for the included price Staff were wonderfully helpfulAs an American, I might just not be used to British beds however these beds are hard as rocks and the pillows were quite thin",4.205,4,-1.205,1.205
2,"Close to the theatre we were going toRoom was basic, uncomfortable and outdated",3.201,4,-1.201,1.201
3,"Breakfast nice, room nice Location goodWhile the staff were polite, they werent warm or over friendly so for this reason I wouldnt stay again",4.193,4,-1.1929999999999996,1.1929999999999996
3,"location was where we needed to bethe current state of the building and rooms, in dire needs of maintenance on the rooms",4.19,4,-1.1900000000000004,1.1900000000000004
4,"room facilities were poor  not enough towels for the number of guests in the rooms Staff did not answer the phone Ordered room service, basic crockery such as cutlery and bottle openers were not provided",2.812,3,1.1880000000000002,1.1880000000000002
5,"The hotel itself is classic English, the building makes a slightly older impression Wonderful choice if you are looking for a Hotel like thatThe rooms are very sensitive to noise, unfortunately you can hear every door that closes in the next room",3.818,4,1.182,1.182
2,"Location awesome, staff were lovely and helpfulRoom far too small I felt like I was in a cupboard Shower no space to open door burnt myself in shower as couldnt put water on without getting in m Lights and aircon went off all
Time",3.175,3,-1.1749999999999998,1.1749999999999998
1,"Good location Comfortable bed,Where to start The communal areas are filthy and need a good update Rooms a bit better but our room had 1 window that wouldnt shut or open and had an open gap at the top of about 2 inches The doors leading to the patio were locked however not fixed into the frame so moved back and forth when pushed with slightest touch Both let in a cold wind all night When I went to let staff know the next morning I was met with being called a liar and a full on scream fest in the lobby in front of other guests by a man claiming to be this manager who then followed me when I retreated  to my car, where he stood in the street banging on windows and shouting, waving himself about and trying to intimidate me and my autistic children when I refused to open the window to him This was despite me saying I wasnt looking for a refund even, but felt these things needed fixing Despite this, he shouted at me multiple times that was all I wanted and was a liar The airconheating didnt work at all and the fan in the ensuite also didnt work The patio outside our room was littered with cigarette butts clearly from people chucking them out from upper floor windows and a cupboard with paint, ladders and building materials left wide open on the same patio Unsafe for kids This same man also said I should do the tissue test ie stand on toilet and place loo roll on it to test suction before I mentioned it and again accused me of lying I have mobility issues, obvious when I am using a walking stick to mobilise and yet he insisted that a guest should do thismobility problems aside, his response was absolutely shocking Breakfast is beyond basic and not enough out for guests who are treated as a massive inconvenience by staff",2.171,2,-1.1709999999999998,1.1709999999999998
4,"Warm welcomeWas told the room was ready but it wasnt, there were dirty cups and a full waste bin and no towels
The staff finished the room whilst I was out",2.848,3,1.1520000000000001,1.1520000000000001
4,"Het bed was goed en het ligt op een goede locatieHet personeel is niet vriendelijk en lacht nooit Ook is het heel erg warm op de kamer zelfs met airco Ik sliep met airco, maar je voelde er niks van",2.861,3,1.1389999999999998,1.1389999999999998
3,"good location Nice stafftiny room even though it was meant to be a deluxe double
average breakfast",4.138,4,-1.138,1.138
5,"Location was really good We left our luggage with them before we could check in, they then put it in our roomI didnt like how you could see into the bathroom The windows were misted but you could still see in, there was also a gap between door and glass where the toilet was",3.885,4,1.1150000000000002,1.1150000000000002
3,Lovely helpful staff Breakfast was greatI dont know if it was mentioned if the room had no windows or not in the description but if it did it was not clear I was quite shocked when I realised I had no window and it felt quite chlaustrophobic,4.109,4,-1.109,1.109
3,The location is excellent and the staff was helpful and accommodatingThe noise level from other guests was very disruptive I wouldnt recommend this hotel for anybody looking for a restful night,4.097,4,-1.0970000000000004,1.0970000000000004
5,"locations good, once we found bus outside took us down to Victoria stationnothing I could think of",3.903,4,1.097,1.097
3,location staffwet towels,4.096,4,-1.096,1.096
5,Nice small locationThe breakfast was not that nice No freshreal coffee,3.905,4,1.0950000000000002,1.0950000000000002
5,"Room 441 was very comfortable , there was however a slight smell of feet sadly odd smell of feet",3.906,4,1.0939999999999999,1.0939999999999999
2,I like the janitor or the guy who brought me a spoon he was very nice towards me or he might of been the bellboy Im not sureI didnt like my room I didnt like the facilities were very small the massage was very short the facilities were broken down as well and just how they didnt understand it was my birthday and they didnt make any special arrangements even seeing my ID with my date of birth on it only the the bellboy or the guy who showed me to my room was nice I remembered my birthday and took time to talk to me,3.093,3,-1.093,1.093
3,"Its very centralIts very dated,I have been coming here for a long time it still looks the same",4.092,4,-1.0919999999999996,1.0919999999999996
3,"The location and bedsDated facilities, dated bathroom",4.091,4,-1.0910000000000002,1.0910000000000002
4,the location was close to everythingthe bed is very uncomfortable when you lay down you can feel the spring poking your back this bed must be too old and worn out it needs to be replace with a new one,2.92,3,1.08,1.08
3,"Centrally located for my needs Clean, good customer serviceA room without a window and air conditioning on all the time was not a productive space",4.076,4,-1.0759999999999996,1.0759999999999996
5,"It was exepcional good Staff was friendly, location good Breakfast  goodNeed better wifi",3.939,4,1.061,1.061
5,"the staff were freindly nice clean hotel right near the thamesPaid for breakfast, with an hour to go of breakfast time we was not allowed it because we did not book it the night before
confusing they could have dropped it off at the rooms if there is no room for people in the chaplin bar Thought that was not great of the hotel, not enough warning about booking it the night before, if u pay for somethung they shiuld honour it somehow",3.943,4,1.057,1.057
4,"Location was fantastic Large bright windows because we had a street facing room Kitchenette was well laid out and very useful Thoughtful touches like hairdryer and shower cap Great neighbourhood and lovely old buildingThe woman dark hair, looked and sounded exhausted, with Romanian or similar accent at Front Desk was an absolute nightmare Everything seemed to be a massive bother to her Very unorganised, looked either clinically depressed or massively hungover, and flat out refused to order us a taxi before checkout claiming she was too busy and alone on the desk Absolutely the worst treatment Ive ever experienced at a property of this type 
Side note when I came to reception to ask a question about the heat, the young East Indian fellow was absolutely wonderful in stark contrast to the woman",2.951,3,1.049,1.049
5,"The elevator was broke and I called the day before concerned  He said he would keep us on the 1st floor and would move our luggage for us  He knew who I was and remembered our ca and the room was quiet and nice and easy to access  We there early so they stored our luggage and when we came back it was already in our room  Staff was very helpful anwering question on the subway, uber and the hop on hop off bus stop right out front  I would stay there againNothing",3.952,4,1.048,1.048
3,I liked the comfort of the bed and the bathroom It was also a easy check in processIt wasnt as clean as I wouldve liked A hairdryer would be good and when asked if we can get coffee of premises we were told no while there is a huge coffee place downstairs Wifi didnt work in most areas and a small table or shelf would be useful in the room,4.047,4,-1.0469999999999997,1.0469999999999997
2,"Breakfast ok, not more Location excellentOne of the elevators out of order Long wait for the elevator Had a room next to the elevator Loud people in the corridor disturbed Ventilation outside was also loud Breakfast room crowded Poor logistics in the breakfast room Why arent the cereals and musli next to the yoghurt Why arent the cheese next to the buns and rolls",3.042,3,-1.0419999999999998,1.0419999999999998
5,"Room spacious and facilities good  Very friendly and helpful staffBathroom floor not cleaned  rubbish under bed and socks belonging to a previous guest in the cupboard Also, I would recommend providing slightly smaller and lighter towels I am sure that would save the hotel money in energy costs and lighten the work of the housekeeping staff",3.961,4,1.0390000000000001,1.0390000000000001
3,Location is goodRooms are a bit dated in contrast to reception and restaurant   Breakfast a bit hit and miss,4.039,4,-1.0389999999999997,1.0389999999999997
3,"Breakfast was excellentRoom was dated 
Needs to be updated 
No air conditioner",4.039,4,-1.0389999999999997,1.0389999999999997
3,Size of room and cleanliness  Within walking distance of museumsRoom wasnt ready on time so by the time we got in and changed we were almost late for an appointment,4.033,4,-1.0330000000000004,1.0330000000000004
3,"The location was fantastic, right next to Warren Street underground station and a short walk from either Euston Square or Euston made getting around London easyCouldnt sleep at night due to loud noise from the ventilation fan within the room that couldnt be turned off",4.009,4,-1.0090000000000003,1.0090000000000003
4,Slippy flour in bathroom and no safe box in room,2.993,3,1.0070000000000001,1.0070000000000001
5,"fantastic location, friendly staffthe sofa bed was quite uncomfortable",4.0,4,1.0,1.0
2,"The location is greatThe room was very basic The room wasnt clean marks on the bedding, hairs in the bathroom and was neglected bags holding extra pillows were ripped The room was very warm even with the heating off and it was uncomfortable to sleep in",2.993,3,-0.9929999999999999,0.9929999999999999
3,"amazing location, good value for money but missing small details like the beds being at least tided everyday and check in took 45 minutesstaff seemed annoyed if I had questions, beds werent made everyday and breakfast could be improved",3.984,4,-0.984,0.984
3,"The location is very convenient, good base for visiting placesSome minor maintenance issues that were resolved by maintenance but no hot water during an evening and the following morning takes the gloss off my stay",3.98,4,-0.98,0.98
4,"Location is very good, room very spaciousWifi didnt work in the room at all When you pay mote than 200 euros for a night you def expect at least very good wifi Breakfast was less than in 4 hotel, fruits not fresh at all, tiny choices of everything",3.025,3,0.9750000000000001,0.9750000000000001
5,"Great vibe, love the decor Lovely rooms, decent size Really nice rooftop bar Staff are super friendly Great choice for breakfastOnly negative was the room was so warm, even with the aircon on which you couldnt leave on all night as it was so loud the room just didnt cool down The heating seemed to be on full wack throughout the hotel and it was a little over bearing Especially at breakfast Maybe because were northern and can handle the cold better but it was too much",4.032,4,0.968,0.968
3,"Great Location, friendly reception staffOver priced for a bit shabby rough around edges hotel  Rooms were no better than a premier inn  didnt feel lived up to the Plaza name or price",3.968,4,-0.968,0.968
3,"Nice clean hotel and good breakfast tooDouble Bed was a bit small Hotel bar had last orders at 1030 just when wed arrived back from a concert and a long walk back, was choking for a cold beer on a warm night",3.965,4,-0.9649999999999999,0.9649999999999999
3,"Great location, very quiet room even though its in the centre of PiccadillyCleanliness was not 100 percent We were not given fresh towels or extra toilet paper and had to ask for some on the 3rd day I asked for an extra pillow as i have back pain occasionally but was told there were none",3.963,4,-0.9630000000000001,0.9630000000000001
5,Great location Friendly staffThe room hadnt been cleaned properly The chair in the room hadnt been fluffed from the previous guest and there were candy wrappers in the seat,4.037,4,0.9630000000000001,0.9630000000000001
5,Great location Friendly staffThe room hadnt been cleaned properly The chair in the room hadnt been fluffed from the previous guest and there were candy wrappers in the seat,4.037,4,0.9630000000000001,0.9630000000000001
5,"Perfect Location ,hygiene , cooperative staffThe Air conditioning of our room was not working",4.038,4,0.9619999999999997,0.9619999999999997
4,"location and interiorCleaner woke us up at 730 am just to ask what time we are leaving  it really upset us, too early for knocking somebodys door, secondly staff should know what time the check out",3.044,3,0.956,0.956
5,EverythingLimited food options in breakfast There is no water bottle in the room,4.045,4,0.9550000000000001,0.9550000000000001
5,Vegetables for breakfast were missing,4.049,4,0.9509999999999996,0.9509999999999996
3,"The property is in a good location if you want to explore Shoreditch and the surrounding area It was super easy to check in and it was mostly clean The staff were nice and the continental breakfast was goodThe room itself was a bit dusty around the edges and the TV didnt work properly Although if youre booking a small room like ours, you probably arent spending much time there The main downside was the noise Our room was on the 2nd floor and you could regularly hear a train passing under the building, which was quite disruptive for sleeping The tube does stop around 1am but then resumes again around 6am Not a great place to book if youre a light sleeper",3.935,4,-0.935,0.935
5,"Great Location  Youre near everything  All the major sites are close and do is the night life  Public transportation is cheap and safeVery clean and modern however the rooms are very small  The small bathroom is about 40 of the total room  Great for couples who arent there much, but the room is very small  Well laid out but the total space with bathroom is as big as a small bedroom",4.065,4,0.9349999999999996,0.9349999999999996
5,location,4.066,4,0.9340000000000002,0.9340000000000002
5,location and ease of accessl dont like heights so glass lifts an issue,4.068,4,0.9320000000000004,0.9320000000000004
3,CleanlinessDistance from hotel base plus bed seemed short to make it fit small room size,3.932,4,-0.9319999999999999,0.9319999999999999
3," Stunning location convenient for tube pretty foyerRoom was tiny like proper tiny
Breakfast was cheap Coffee was cold in shared jug",3.926,4,-0.9260000000000002,0.9260000000000002
4,"Its central and modern Close to Tube station shops restaurants and theater 
Lobby is large modern and welcomingWell, we were taken a back when we were charged 15 euro per luggage when we needed to leave our baggage at the hotel while we explored the city as we arrived 2 hours earlier and again when we checked out as our flight was late and didnt want to waste a day
The room was tiny with nowhere to place our clothes We were a family of 4 and the partition between the shower  toilet and bed was made of frosted glass We could see  each other through the glass no privacy no toilet brush No extractor or window  Lightning was very low ",3.075,4,0.9249999999999998,0.9249999999999998
5,it was nice clean and tidy friendly staff went above and beyondthere was nothing I didnt like aside the fire alarm making an appearance for a little while on and off at 8am,4.078,4,0.9219999999999997,0.9219999999999997
5,"The Room was Very comfortable and clean, for the location it was great, as its not too far from the center of london and is situated in the zone 1 and 2 , so i did like it I didnt like just the pillow as it was not comfortable ",4.087,4,0.9130000000000003,0.9130000000000003
5,"We loved the location and breakfastSmall noisy rooms, but we expected that in London",4.09,4,0.9100000000000001,0.9100000000000001
3,"I paid extra for a seating area and bearing in mind it was a double room, I expected 2 arm chairs or the sofa which was advertised",3.908,4,-0.9079999999999999,0.9079999999999999
2,"Location of the hotel Close to the London Eye and the bus and tube station itself Close to grocery store, good pizzeria and pub The location itself seems pretty safe Part of the staff is excellent, but part needs additional trainingThere was a smell of sewage in the room all the time We complained at the reception, they said they would solve  nothing was resolved Also the bathroom door was constantly scraping into the stock and barely opening and closing  which one janitor solves in a few minutes realistically  you shouldnt allow a 4 star hotel  The hotel at check in takes 50 GBP as a reservation  deposit if something was damaged in the room  nothing was damaged, but the money was not returned to the card  they said they would return it in 57 days  it took approx 17 days till now and nothing later we read on Trip Advisor that they never return that money to most",2.899,3,-0.899,0.899
3,Helpful staff location goodTiny room noisy sometimes didnt clean room on second day,3.895,4,-0.895,0.895
5,"Clean, comfortable and convenient to get into London to see the sights
Even though on a high street the room was quite, but that also meant there was a good choice of places to eatBreakfast Yes there was a good selection of hot and cold choices which was absolutely fine The servery area was too small and crowded for the   amount of people trying to serve themselves Had to queue on both mornings and to be honest it was a bit stressful and at times dangerous",4.105,4,0.8949999999999996,0.8949999999999996
5,"This is a good small hotel with rooms that are not big, but clean and adequate  The service is very good when it comes to both the hotel and the breakfast staffThe location is quiet, but requires walking a bit  However, there are three tube stations within walking distance
The breakfast experience could be improved by both the variety of food and its quality  Its OK, but could have been better
I think this hotel is a bit overpriced even though London is expensive when it comes to accommodations",4.107,4,0.8929999999999998,0.8929999999999998
5,"Excellent room, quiet and comfortable Bar had some good cocktails Close to conference centreLift to my floor broke down on the day I was leaving I have to use the lift owing to mobility problems after an operation",4.113,4,0.8869999999999996,0.8869999999999996
5,Staff available to help with check inAbraham who was also on duty Sunday night my last night was always welcoming when I entered the building and polite and always asked if everything was fineMaybe come every other day to empty trash bins in room,4.119,4,0.8810000000000002,0.8810000000000002
3,The staff were friendlyThe very small bathroom,3.881,4,-0.8809999999999998,0.8809999999999998
4,The noise of the air con unit was annoying  it was outside our room  bathroom could do with an update The air con noise from outside the room,3.119,4,0.8809999999999998,0.8809999999999998
4,the viewmy shower head wasnt working and the room was tiny where I could not pray,3.122,3,0.8780000000000001,0.8780000000000001
